name,ttm,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015
OperatingCashFlow,"7,813,000,000","9,291,000,000","6,991,000,000","6,810,000,000","2,222,000,000","2,162,000,000","2,551,000,000"
	CashFlowFromContinuingOperatingActivities,"7,813,000,000","9,291,000,000","6,991,000,000","6,810,000,000","2,222,000,000","2,162,000,000","2,551,000,000"
		NetIncomeFromContinuingOperations,"5,382,000,000","5,529,000,000","-2,181,000,000","-3,855,000,000","-1,718,000,000","-1,104,000,000","-1,221,000,000"
		OperatingGainsLosses,,,"-30,000,000","129,000,000","-2,245,000,000","122,000,000","90,000,000"
			GainLossOnSaleOfBusiness,,,"-30,000,000","16,000,000","-2,319,000,000","0","0"
			NetForeignCurrencyExchangeGainLoss,,,,"113,000,000","74,000,000","122,000,000","90,000,000"
		DepreciationAmortizationDepletion,"5,843,000,000","6,143,000,000","7,746,000,000","8,634,000,000","4,938,000,000","2,872,000,000","2,977,000,000"
			DepreciationAndAmortization,"5,843,000,000","6,143,000,000","7,746,000,000","8,634,000,000","4,938,000,000","2,872,000,000","2,977,000,000"
		DeferredTax,"-5,751,000,000","-6,339,000,000","-1,331,000,000","-2,595,000,000","-2,201,000,000","-205,000,000","-465,000,000"
			DeferredIncomeTax,"-5,751,000,000","-6,339,000,000","-1,331,000,000","-2,595,000,000","-2,201,000,000","-205,000,000","-465,000,000"
		AssetImpairmentCharge,,"619,000,000",,,,,
		ProvisionandWriteOffofAssets,,"178,000,000","172,000,000","164,000,000","120,000,000","171,000,000","216,000,000"
		StockBasedCompensation,"1,369,000,000","1,262,000,000","918,000,000","835,000,000","398,000,000","72,000,000","72,000,000"
		OtherNonCashItems,"210,000,000","141,000,000","614,000,000","413,000,000","328,000,000","115,000,000","153,000,000"
		ChangeInWorkingCapital,"-37,000,000","1,758,000,000","1,083,000,000","3,085,000,000","2,602,000,000","119,000,000","729,000,000"
			ChangeInReceivables,"-2,219,000,000","-1,615,000,000","-2,406,000,000","-3,168,000,000","-2,527,000,000","-134,000,000","-788,000,000"
				ChangesInAccountReceivables,"-755,000,000","-286,000,000","-1,104,000,000","-1,515,000,000","-1,776,000,000","187,000,000","-238,000,000"
			ChangeInInventory,"-314,000,000","311,000,000","-1,445,000,000","-325,000,000","1,076,000,000","-5,000,000","71,000,000"
			ChangeInPayablesAndAccruedExpense,"277,000,000","770,000,000","2,050,000,000","4,289,000,000","1,216,000,000","-581,000,000","638,000,000"
				ChangeInPayable,"401,000,000","894,000,000","952,000,000","3,779,000,000","751,000,000","-374,000,000","1,029,000,000"
					ChangeInAccountPayable,"401,000,000","894,000,000","952,000,000","3,779,000,000","751,000,000","-374,000,000","1,029,000,000"
				ChangeInAccruedExpense,,"-124,000,000","1,098,000,000","510,000,000","465,000,000","-207,000,000","-391,000,000"
			ChangeInOtherCurrentAssets,,"-1,435,000,000","-534,000,000","-1,009,000,000","215,000,000","-28,000,000","-623,000,000"
			ChangeInOtherWorkingCapital,"3,654,000,000","3,727,000,000","3,418,000,000","3,298,000,000","2,622,000,000","867,000,000","1,431,000,000"
InvestingCashFlow,"-4,713,000,000","-4,686,000,000","3,389,000,000","-2,881,000,000","-31,256,000,000","-321,000,000","-355,000,000"
	CashFlowFromContinuingInvestingActivities,"-4,713,000,000","-4,686,000,000","3,389,000,000","-2,881,000,000","-31,256,000,000","-321,000,000","-355,000,000"
		CapitalExpenditureReported,"-2,419,000,000","-2,576,000,000","-1,497,000,000","-1,581,000,000","-906,000,000","-482,000,000","-478,000,000"
		NetPPEPurchaseAndSale,,,"10,000,000","0","24,000,000","88,000,000","23,000,000"
			SaleOfPPE,,,"10,000,000","0","24,000,000","88,000,000","23,000,000"
		NetBusinessPurchaseAndSale,"-2,325,000,000","-2,455,000,000","-770,000,000","-658,000,000","-30,756,000,000","8,000,000","-63,000,000"
			PurchaseOfBusiness,"-2,445,000,000","-2,455,000,000","-912,000,000","-658,000,000","-37,629,000,000","0","-73,000,000"
			SaleOfBusiness,"120,000,000","0","142,000,000","0","6,873,000,000","8,000,000","10,000,000"
		NetInvestmentPurchaseAndSale,"0","316,000,000","5,687,000,000","-511,000,000","395,000,000","-20,000,000","-12,000,000"
			PurchaseOfInvestment,"-199,000,000","-181,000,000","-925,000,000","-4,389,000,000","-778,000,000","-27,000,000","-27,000,000"
			SaleOfInvestment,"199,000,000","497,000,000","6,612,000,000","3,878,000,000","1,173,000,000","7,000,000","15,000,000"
		NetOtherInvestingChanges,"31,000,000","29,000,000","-41,000,000","-131,000,000","-13,000,000","85,000,000","175,000,000"
FinancingCashFlow,"379,000,000","-4,604,000,000","-14,329,000,000","364,000,000","31,908,000,000","-496,000,000","-3,094,000,000"
	CashFlowFromContinuingFinancingActivities,"379,000,000","-4,604,000,000","-14,329,000,000","364,000,000","31,908,000,000","-496,000,000","-3,094,000,000"
		NetIssuancePaymentsOfDebt,"3,100,000,000","-1,636,000,000","1,594,000,000","2,118,000,000","29,933,000,000","-490,000,000","-3,117,000,000"
			NetLongTermDebtIssuance,"3,100,000,000","-1,636,000,000","1,594,000,000","2,118,000,000","29,933,000,000","-490,000,000","-3,117,000,000"
				LongTermDebtIssuance,"21,053,000,000","20,481,000,000","13,045,000,000","14,439,000,000","46,893,000,000","5,460,000,000","2,936,000,000"
				LongTermDebtPayments,"-17,953,000,000","-22,117,000,000","-11,451,000,000","-12,321,000,000","-16,960,000,000","-5,950,000,000","-6,053,000,000"
		NetCommonStockIssuance,"-2,644,000,000","-2,895,000,000","-13,687,000,000","-1,707,000,000","3,264,000,000","-2,000,000","28,000,000"
			CommonStockIssuance,"640,000,000","658,000,000","803,000,000","131,000,000","4,586,000,000","0","28,000,000"
			CommonStockPayments,"-3,284,000,000","-3,553,000,000","-14,490,000,000","-1,838,000,000","-1,322,000,000","-2,000,000","0"
		CashDividendsPaid,,"0","-2,134,000,000",,,,
			CommonStockDividendPaid,,"0","-2,134,000,000",,,,
		ProceedsFromStockOptionExercised,,,,,"0",,"0"
		NetOtherFinancingCharges,"-77,000,000","-73,000,000","-102,000,000","-47,000,000","-1,289,000,000","-4,000,000","-5,000,000"
