name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalRevenue,"11,203,000,000","10,800,000,000","10,746,000,000","9,567,000,000","8,979,000,000","8,592,000,000","17,902,000,000","16,047,000,000","14,072,000,000","11,651,654,000","9,156,274,000","8,727,362,000","8,541,261,000","7,672,329,000","5,969,741,000","4,552,401,000","3,271,309,000","2,165,096,000","1,214,100,000","748,821,000","431,424,000","224,700,000","47,400,000","5,700,000"
CostOfRevenue,"2,540,000,000","2,508,000,000","2,382,000,000","2,222,000,000","2,007,000,000","1,771,000,000","5,732,000,000","5,036,000,000","4,216,000,000","3,460,184,000","2,564,667,000","2,479,762,000","2,228,069,000","1,762,972,000","1,256,792,000","818,104,000","614,415,000","416,058,000","213,876,000","134,816,000","51,695,000","33,300,000","2,300,000","700,000"
GrossProfit,"8,663,000,000","8,292,000,000","8,364,000,000","7,345,000,000","6,972,000,000","6,821,000,000","12,170,000,000","11,011,000,000","9,856,000,000","8,191,470,000","6,591,607,000","6,247,600,000","6,313,192,000","5,909,357,000","4,712,949,000","3,734,297,000","2,656,894,000","1,749,038,000","1,000,224,000","614,005,000","379,729,000","191,400,000","45,100,000","5,000,000"
OperatingExpense,"6,043,000,000","5,971,000,000","6,142,000,000","5,080,000,000","4,647,000,000","4,624,000,000","8,656,000,000","7,640,000,000","6,968,000,000","5,818,470,000","4,516,599,000","4,752,647,000","4,188,391,000","5,296,177,000","3,289,993,000","2,292,590,000","1,597,652,000","1,119,797,000","646,027,000","473,579,000","343,185,000","188,300,000","38,900,000","3,600,000"
	ResearchAndDevelopment,"1,248,000,000","1,240,000,000","1,285,000,000","1,224,000,000","1,114,000,000","923,000,000","2,000,000,000","1,768,000,000","1,573,000,000","1,235,171,000","908,434,000","803,070,000","725,600,000","619,727,000","494,693,000","328,191,000","240,647,000","159,315,000","104,636,000","75,288,000","55,863,000","23,800,000","4,600,000","800,000"
	SellingGeneralAndAdministration,"4,385,000,000","4,383,000,000","4,522,000,000","3,546,000,000","3,268,000,000","3,389,000,000","5,430,000,000","4,763,000,000","4,480,000,000","3,799,269,000","3,026,198,000","3,304,066,000","2,880,422,000","3,081,408,000","2,598,220,000","1,822,444,000","1,273,599,000","870,268,000","521,435,000","359,258,000","239,794,000","139,100,000","28,900,000","2,700,000"
	OperatingExpense,"6,043,000,000","5,971,000,000","6,142,000,000","5,080,000,000","4,647,000,000","4,624,000,000","8,656,000,000","7,640,000,000","6,968,000,000","5,818,470,000","4,516,599,000","4,752,647,000","4,188,391,000","5,296,177,000","3,289,993,000","2,292,590,000","1,597,652,000","1,119,797,000","646,027,000","473,579,000","343,185,000","188,300,000","38,900,000","3,600,000"
OperatingIncome,"2,620,000,000","2,321,000,000","2,222,000,000","2,265,000,000","2,325,000,000","2,197,000,000","3,514,000,000","3,371,000,000","2,888,000,000","2,373,000,000","2,075,008,000","1,494,953,000","2,124,801,000","613,180,000","1,422,956,000","1,441,707,000","1,059,242,000","629,241,000","354,197,000","140,426,000","36,544,000","3,100,000","6,200,000","1,400,000"
InterestExpense,,"311,000,000","326,000,000","292,000,000","225,000,000","144,000,000","123,000,000","100,000,000","63,000,000","25,030,000",,,"8,037,000",,,,,,,,,,,
OtherIncomeExpense,,"77,000,000","646,000,000","126,000,000","1,426,000,000","256,000,000","7,000,000","84,000,000","125,000,000","1,451,323,000","-21,437,000","-38,187,000","-49,119,000","-1,390,938,000",,,,"-31,195,000","-3,781,000","-16,245,000","-1,550,000","-4,200,000","900,000","100,000"
