name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalRevenue,"321,782,000,000","280,522,000,000","232,887,000,000","177,866,000,000","135,987,000,000","107,006,000,000","88,988,000,000","74,452,000,000","61,093,000,000","48,077,000,000","34,204,000,000","24,509,000,000","19,166,000,000","14,835,000,000","10,711,000,000","8,490,000,000","6,921,124,000","5,263,699,000","3,932,936,000","3,122,433,000","2,761,983,000","1,639,839,000","609,996,000","147,800,000","15,700,000"
CostOfRevenue,"239,893,000,000","205,768,000,000","173,183,000,000","137,183,000,000","105,884,000,000","85,061,000,000","73,518,000,000","62,766,000,000","52,390,000,000","37,288,000,000","26,561,000,000","18,978,000,000","14,896,000,000","11,482,000,000","8,255,000,000","6,451,000,000","5,319,127,000","4,006,531,000","2,940,318,000","2,323,875,000","2,106,206,000","1,349,194,000","476,155,000","114,200,000","12,000,000"
GrossProfit,"81,889,000,000","74,754,000,000","59,704,000,000","40,683,000,000","30,103,000,000","21,945,000,000","15,470,000,000","11,686,000,000","8,703,000,000","10,789,000,000","7,643,000,000","5,531,000,000","4,270,000,000","3,353,000,000","2,456,000,000","2,039,000,000","1,601,997,000","1,257,168,000","992,618,000","798,558,000","655,777,000","290,645,000","133,841,000","33,600,000","3,700,000"
OperatingExpense,"65,020,000,000","60,213,000,000","47,283,000,000","36,577,000,000","25,917,000,000","19,712,000,000","15,292,000,000","10,941,000,000","8,027,000,000","9,773,000,000","6,131,000,000","4,300,000,000","3,452,000,000","2,689,000,000","2,057,000,000","1,607,000,000","1,161,572,000","986,433,000","886,921,000","1,029,230,000","1,519,657,000","888,328,000","245,801,000","62,700,000","9,700,000"
	ResearchAndDevelopment,"38,653,000,000","35,931,000,000","28,837,000,000","22,620,000,000","16,085,000,000","12,540,000,000","9,275,000,000","6,565,000,000","4,564,000,000","2,909,000,000","1,734,000,000","1,240,000,000","1,033,000,000","818,000,000","662,000,000","451,000,000","251,195,000","207,809,000","215,617,000","241,165,000","269,326,000","159,722,000","46,807,000","12,500,000",
	SellingGeneralAndAdministration,"25,887,000,000","24,081,000,000","18,150,000,000","13,743,000,000","9,665,000,000","7,001,000,000","5,884,000,000","4,262,000,000","3,304,000,000","6,864,000,000","4,397,000,000","3,060,000,000","2,419,000,000","1,871,000,000","1,395,000,000","1,156,000,000","918,341,000","775,872,000","665,826,000","607,032,000","728,248,000","513,912,000","148,822,000","45,500,000","9,400,000"
	OperatingExpense,"65,020,000,000","60,213,000,000","47,283,000,000","36,577,000,000","25,917,000,000","19,712,000,000","15,292,000,000","10,941,000,000","8,027,000,000","9,773,000,000","6,131,000,000","4,300,000,000","3,452,000,000","2,689,000,000","2,057,000,000","1,607,000,000","1,161,572,000","986,433,000","886,921,000","1,029,230,000","1,519,657,000","888,328,000","245,801,000","62,700,000","9,700,000"
OperatingIncome,"16,869,000,000","14,541,000,000","12,421,000,000","4,106,000,000","4,186,000,000","2,233,000,000","178,000,000","745,000,000","676,000,000","1,016,000,000","1,512,000,000","1,231,000,000","818,000,000","664,000,000","399,000,000","432,000,000","440,425,000","270,735,000","105,697,000","-230,672,000","-863,880,000","-597,683,000","-111,960,000","-29,100,000","-6,000,000"
InterestExpense,"1,656,000,000","1,600,000,000","1,417,000,000","848,000,000","484,000,000","459,000,000","210,000,000","141,000,000","92,000,000","65,000,000","39,000,000","34,000,000","71,000,000","77,000,000","78,000,000",,,,,,,,,,
OtherIncomeExpense,"305,000,000","203,000,000","-183,000,000","346,000,000","90,000,000","-256,000,000","-118,000,000","-136,000,000","-80,000,000","-78,000,000","-27,000,000","-73,000,000","71,000,000","-17,000,000","-3,000,000","44,000,000","2,439,000","-127,429,000","-136,392,000","-215,953,000","-657,604,000","-83,170,000","-50,172,000","1,900,000","200,000"
PretaxIncome,"16,289,000,000","13,976,000,000","11,261,000,000","3,806,000,000","3,892,000,000","1,568,000,000","-111,000,000","506,000,000","544,000,000","934,000,000","1,497,000,000","1,161,000,000","901,000,000","660,000,000","377,000,000","428,000,000","355,870,000",,,,,,,,
TaxProvision,"3,009,000,000","2,374,000,000","1,197,000,000","769,000,000","1,425,000,000","950,000,000","167,000,000","161,000,000","428,000,000","291,000,000","352,000,000","253,000,000","247,000,000","184,000,000","187,000,000","95,000,000","-232,581,000",,,,,,,,
