name,ttm,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
OperatingCashFlow,"4,807,813,000","4,421,813,000","4,029,304,000","2,912,853,000","2,199,728,000","1,469,502,000","1,287,482,000","1,151,686,000","1,499,580,000","1,543,314,000","1,112,995,000","1,117,772,000","1,280,682,000","1,439,303,000","927,239,000","730,353,000","683,744,000","433,136,000","329,331,000","418,702,000","444,626,000","334,199,000","203,469,000","208,647,000","198,114,000","177,001,000","142,500,000","107,700,000","80,400,000","79,100,000","49,100,000","43,800,000",,,
	NetIncome,"3,699,458,000","2,951,458,000","2,590,774,000","1,693,954,000","1,168,782,000","629,551,000","268,395,000","289,985,000","832,775,000","832,847,000","774,680,000","386,508,000","871,814,000","723,807,000","505,809,000","602,839,000","450,398,000","266,344,000","191,399,000","205,644,000","287,808,000","237,751,000","105,144,000","186,837,000","153,277,000","93,485,000","6,300,000","57,000,000","43,600,000","51,600,000","40,100,000","33,700,000","21,100,000","9,000,000","3,600,000"
	DepreciationAndAmortization,"739,669,000","736,669,000","346,492,000","325,997,000","331,535,000","339,473,000","313,590,000","321,227,000","299,766,000","270,205,000","292,738,000",,"270,269,000","315,464,000","307,822,000","64,335,000","60,808,000","49,014,000","63,481,000","56,645,000","43,275,000","50,770,000","56,264,000","59,384,000","55,621,000","60,435,000","53,200,000","26,000,000","19,000,000","15,200,000","11,100,000","5,600,000",,,
	DeferredIncomeTax,"-251,293,000","2,707,000","-468,936,000","51,605,000","24,222,000","-69,657,000","-26,089,000","29,704,000","89,212,000","60,983,000","-161,222,000","49,590,000","46,584,000","58,385,000","-4,264,000","-7,068,000","46,270,000","36,460,000","-5,486,000","-17,600,000","1,398,000","694,000","-6,774,000","-4,172,000","-6,715,000","-6,828,000","-12,500,000","-1,000,000","-10,000,000","1,700,000","900,000","-2,100,000",,,
	StockBasedCompensation,"842,705,000","787,705,000","609,562,000","451,451,000","349,912,000","335,859,000","333,701,000","328,987,000","298,502,000","286,103,000","231,086,000","167,581,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-289,935,000","-22,935,000","943,426,000","390,715,000","320,113,000","263,705,000","396,080,000","162,642,000","10,408,000","77,710,000","-22,636,000","183,212,000","-126,243,000","71,827,000","-53,831,000","-15,805,000","30,279,000","26,686,000","19,023,000","16,002,000","-16,799,000","65,880,000","39,987,000","-36,017,000","28,845,000","-28,704,000","39,300,000","23,700,000","13,200,000","8,200,000","-4,300,000","6,000,000",,,
	ChangesInAccountReceivables,"-118,826,000","-187,826,000","-1,983,000","-187,173,000","-160,416,000","-79,502,000","7,928,000","33,649,000","45,166,000","-81,065,000","-134,276,000","172,287,000",,,,,,,,,,,,,,,,,,,,,,,
	ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,"2,496,000","1,000,000","600,000","-800,000","100,000","-2,500,000","-400,000",,,
	ChangeInAccountPayable,"120,129,000","23,129,000","54,920,000","-45,186,000","-6,281,000","22,870,000","6,211,000","7,132,000","-62,874,000","32,203,000","-10,092,000","-13,601,000",,,,,,,,,,,,,,,,,,,,,,,
	FreeCashFlow,"4,434,334,000","4,027,334,000","3,762,725,000","2,734,731,000","1,995,923,000","1,284,566,000","1,139,150,000","963,328,000","1,228,504,000","1,333,020,000","943,353,000","998,180,000","1,168,890,000","1,307,228,000","843,989,000","681,478,000","620,518,000","393,682,000","297,753,000","372,146,000","414,790,000","291,993,000","143,724,000","174,765,000","152,245,000","142,930,000","114,000,000","93,300,000","68,500,000","66,900,000","41,700,000","38,600,000",,,
	OtherNonCashItems,"69,835,000","13,835,000","7,193,000","4,625,000","2,022,000","1,216,000","1,889,000","28,185,000","-13,658,000","847,839,000","777,942,000","48,815,000","235,635,000","275,405,000","235,296,000",,,"-543,000",,,"1,011,000","14,379,000","9,077,000",,,,,"200,000","6,000,000","200,000",,"100,000",,,
	OperatingCashFlow,"4,807,813,000","4,421,813,000","4,029,304,000","2,912,853,000","2,199,728,000","1,469,502,000","1,287,482,000","1,151,686,000","1,499,580,000","1,543,314,000","1,112,995,000","1,117,772,000","1,280,682,000","1,439,303,000","927,239,000","730,353,000","683,744,000","433,136,000","329,331,000","418,702,000","444,626,000","334,199,000","203,469,000","208,647,000","198,114,000","177,001,000","142,500,000","107,700,000","80,400,000","79,100,000","49,100,000","43,800,000",,,
InvestingCashFlow,"-301,584,000","-455,584,000","-4,685,295,000","-442,877,000","-960,033,000","-1,488,358,000","-490,707,000","-1,177,803,000","-834,662,000","-757,402,000","-1,159,294,000","-1,497,096,000","-304,681,000","83,294,000","195,186,000","-320,363,000","-276,582,000","-548,392,000","-142,263,000","-26,425,000","-228,060,000","74,150,000","-40,301,000","166,860,000","-46,865,000","-355,913,000","-106,600,000","-47,900,000","-53,800,000","-74,100,000","-43,600,000","-22,800,000",,,
	CapitalExpenditure,"-373,479,000","-394,479,000","-266,579,000","-178,122,000","-203,805,000","-184,936,000","-148,332,000","-188,358,000","-271,076,000","-210,294,000","-169,642,000","-119,592,000","-111,792,000","-132,075,000","-83,250,000","-48,875,000","-63,226,000","-39,454,000","-31,578,000","-46,556,000","-29,836,000","-42,206,000","-59,745,000","-33,882,000","-45,869,000","-34,071,000","-28,500,000","-14,400,000","-11,900,000","-12,200,000","-7,400,000","-5,200,000",,,
	PurchaseOfBusiness,"-704,000","-100,704,000","-6,314,382,000","-459,626,000","-48,427,000","-826,004,000","-29,802,000","-704,589,000","-353,195,000","-259,046,000","-193,281,000","-1,582,669,000",,,,,,,,,,,,,,,,,,,,,,,
	PurchaseOfInvestment,"-854,628,000","-748,628,000","-584,597,000","-1,960,929,000","-2,343,655,000","-2,087,612,000","-2,031,758,000","-2,125,795,000","-1,806,186,000","-1,926,675,000","-2,629,003,000","-1,336,509,000","-2,506,002,000","-2,693,775,000","-1,619,536,000","-1,884,158,000","-1,214,489,000","-927,930,000","-617,105,000","-849,129,000","-502,934,000","-270,960,000","-1,278,178,000","-2,657,302,000","-2,363,993,000","-2,614,349,000","-1,734,400,000","-672,700,000","-26,600,000","-35,800,000","-13,600,000","-14,800,000",,,
	SaleOfInvestment,"927,227,000","788,227,000","2,480,263,000","2,155,800,000","1,635,854,000","1,552,415,000","1,719,185,000","1,816,679,000","1,595,795,000","1,638,756,000","1,800,481,000","1,538,903,000","2,285,950,000","2,985,528,000","1,458,852,000","1,622,211,000","1,137,545,000","435,492,000","499,075,000","869,260,000","323,738,000","296,849,000","1,347,800,000","2,875,294,000","2,363,793,000","2,403,631,000","1,698,000,000","643,900,000",,,,,,,
	NetOtherInvestingChanges,,,,,,,,,,"-143,000",,"2,771,000","30,747,000","-856,000",,,"-126,800,000","-16,500,000",,,,"86,786,000","-46,634,000","-11,129,000","7,231,000","-95,966,000","-41,700,000","-4,700,000","-15,300,000","-26,100,000","-22,600,000","-2,800,000",,,
	InvestingCashFlow,"-301,584,000","-455,584,000","-4,685,295,000","-442,877,000","-960,033,000","-1,488,358,000","-490,707,000","-1,177,803,000","-834,662,000","-757,402,000","-1,159,294,000","-1,497,096,000","-304,681,000","83,294,000","195,186,000","-320,363,000","-276,582,000","-548,392,000","-142,263,000","-26,425,000","-228,060,000","74,150,000","-40,301,000","166,860,000","-46,865,000","-355,913,000","-106,600,000","-47,900,000","-53,800,000","-74,100,000","-43,600,000","-22,800,000",,,
CashFlowFromContinuingFinancingActivities,"-3,524,044,000","-2,946,044,000","-5,568,000","-1,183,735,000","-1,090,706,000","-200,687,000","-507,283,000","-559,138,000","-234,723,000","-550,358,000","-215,262,000","477,658,000","-1,021,567,000","-1,350,390,000","-774,676,000","-246,596,000","-224,518,000","117,018,000","-223,263,000","-409,586,000","-148,300,000","-347,478,000","-321,791,000","-219,204,000","-101,494,000","36,866,000","21,400,000","-12,300,000","-9,700,000","5,800,000","900,000","-21,300,000",,,
	RepaymentOfDebt,,,"-1,707,000","-1,960,000","-108,000","-602,189,000","-14,684,000","-25,879,000","-9,855,000","-10,046,000","-1,003,719,000","-13,875,000",,,,,,,,,,,,,,,,,,,,,,,
	CommonStockIssuance,"247,932,000","232,932,000","190,990,000","158,351,000","145,697,000","164,270,000","227,841,000","500,776,000","169,274,000","144,754,000","139,270,000","179,566,000","319,165,000","516,087,000","509,506,000","356,547,000","396,105,000","213,421,000","81,859,000","87,536,000","119,135,000","142,938,000","70,935,000","77,351,000","39,870,000","70,367,000","45,200,000","17,000,000","10,300,000","15,300,000","7,200,000","3,300,000",,,
	RepurchaseOfCapitalStock,"-3,200,000,000","-2,750,000,000","-2,050,000,000","-1,100,000,000","-1,075,000,000","-625,000,000","-600,000,000","-1,100,000,000","-405,000,000","-695,015,000","-850,020,000","-350,013,000","-1,722,715,000","-1,951,527,000","-1,364,412,000","-600,099,000","-608,681,000","-84,777,000","-293,241,000","-485,115,000","-255,456,000","-479,161,000","-379,203,000","-275,644,000","-126,778,000","-17,849,000","-10,300,000","-21,200,000","-12,700,000",,"-1,100,000","-20,300,000",,,
	CashDividendsPaid,,,,,,,,,,,,,,,,"-3,044,000","-11,942,000","-11,626,000","-11,881,000","-12,007,000","-11,979,000","-12,233,000","-16,291,000","-20,911,000","-14,586,000","-12,310,000","-9,900,000","-8,500,000","-7,200,000","-6,500,000","-4,700,000","-4,000,000",,,
	NetOtherFinancingCharges,"-565,976,000","-428,976,000","-393,193,000","-240,126,000","-161,295,000","-127,048,000","-120,440,000","40,262,000","7,706,000","9,949,000","5,768,000","11,980,000","31,983,000","85,050,000","80,230,000",,,,,,,"978,000","2,768,000",,,"-3,342,000","-3,600,000","400,000","-100,000",,"-100,000",,,,
	CashFlowFromContinuingFinancingActivities,"-3,524,044,000","-2,946,044,000","-5,568,000","-1,183,735,000","-1,090,706,000","-200,687,000","-507,283,000","-559,138,000","-234,723,000","-550,358,000","-215,262,000","477,658,000","-1,021,567,000","-1,350,390,000","-774,676,000","-246,596,000","-224,518,000","117,018,000","-223,263,000","-409,586,000","-148,300,000","-347,478,000","-321,791,000","-219,204,000","-101,494,000","36,866,000","21,400,000","-12,300,000","-9,700,000","5,800,000","900,000","-21,300,000",,,
ChangeInCashSupplementalAsReported,"961,446,000","1,007,446,000","-663,297,000","1,294,757,000","134,755,000","-240,840,000","282,844,000","-590,496,000","435,552,000","239,609,000","-249,596,000","113,037,000","-59,972,000","173,922,000","351,682,000","161,757,000","186,210,000","6,233,000","-34,978,000","-18,204,000","65,721,000","60,274,000","-156,705,000","156,831,000","52,252,000","-142,036,000","56,000,000","47,500,000","16,900,000","10,800,000","6,400,000","-300,000",,,
BeginningCashPosition,"2,083,000,000","1,642,775,000","2,306,072,000","1,011,315,000","876,560,000","1,117,400,000","834,556,000","1,425,052,000","989,500,000","749,891,000","999,487,000","886,450,000","946,422,000","772,500,000","420,818,000","259,061,000","189,917,000","183,684,000","218,662,000","236,866,000","171,145,000","110,871,000","267,576,000","110,745,000","58,493,000","200,529,000","134,000,000","47,200,000","30,300,000","19,500,000","13,100,000","13,400,000",,,
EndCashPosition,"3,065,185,000","2,650,221,000","1,642,775,000","2,306,072,000","1,011,315,000","876,560,000","1,117,400,000","834,556,000","1,425,052,000","989,500,000","749,891,000","999,487,000","886,450,000","946,422,000","772,500,000","420,818,000","376,127,000","189,917,000","183,684,000","218,662,000","236,866,000","171,145,000","110,871,000","267,576,000","110,745,000","58,493,000","190,000,000","0","0","0","0","0",,,
FreeCashFlow,"4,434,334,000","4,027,334,000","3,762,725,000","2,734,731,000","1,995,923,000","1,284,566,000","1,139,150,000","963,328,000","1,228,504,000","1,333,020,000","943,353,000","998,180,000","1,168,890,000","1,307,228,000","843,989,000","681,478,000","620,518,000","393,682,000","297,753,000","372,146,000","414,790,000","291,993,000","143,724,000","174,765,000","152,245,000","142,930,000","114,000,000","93,300,000","68,500,000","66,900,000","41,700,000","38,600,000",,,
	OperatingCashFlow,"4,807,813,000","4,421,813,000","4,029,304,000","2,912,853,000","2,199,728,000","1,469,502,000","1,287,482,000","1,151,686,000","1,499,580,000","1,543,314,000","1,112,995,000","1,117,772,000","1,280,682,000","1,439,303,000","927,239,000","730,353,000","683,744,000","433,136,000","329,331,000","418,702,000","444,626,000","334,199,000","203,469,000","208,647,000","198,114,000","177,001,000","142,500,000","107,700,000","80,400,000","79,100,000","49,100,000","43,800,000",,,
	CapitalExpenditure,"-373,479,000","-394,479,000","-266,579,000","-178,122,000","-203,805,000","-184,936,000","-148,332,000","-188,358,000","-271,076,000","-210,294,000","-169,642,000","-119,592,000","-111,792,000","-132,075,000","-83,250,000","-48,875,000","-63,226,000","-39,454,000","-31,578,000","-46,556,000","-29,836,000","-42,206,000","-59,745,000","-33,882,000","-45,869,000","-34,071,000","-28,500,000","-14,400,000","-11,900,000","-12,200,000","-7,400,000","-5,200,000",,,
	FreeCashFlow,"4,434,334,000","4,027,334,000","3,762,725,000","2,734,731,000","1,995,923,000","1,284,566,000","1,139,150,000","963,328,000","1,228,504,000","1,333,020,000","943,353,000","998,180,000","1,168,890,000","1,307,228,000","843,989,000","681,478,000","620,518,000","393,682,000","297,753,000","372,146,000","414,790,000","291,993,000","143,724,000","174,765,000","152,245,000","142,930,000","114,000,000","93,300,000","68,500,000","66,900,000","41,700,000","38,600,000",,,
