name,ttm,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013,07/31/2012,07/31/2011,07/31/2010,07/31/2009,07/31/2008,07/31/2007,07/31/2006,07/31/2005,07/31/2004,07/31/2003,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989,07/31/1988
TotalRevenue,"50,575,000,000","51,904,000,000","49,330,000,000","48,005,000,000","49,247,000,000","49,161,000,000","47,142,000,000","48,607,000,000","46,061,000,000","43,218,000,000","40,040,000,000","36,117,000,000","39,540,000,000","34,922,000,000","28,484,000,000","24,801,000,000","22,045,000,000","18,878,000,000","18,915,000,000","22,293,000,000","18,928,000,000","12,154,000,000","8,458,777,000","6,440,171,000","4,096,007,000","1,978,916,000","1,243,000,000","649,000,000","339,600,000","183,200,000","69,800,000","27,700,000","5,500,000"
CostOfRevenue,"18,002,000,000","19,238,000,000","18,724,000,000","17,781,000,000","18,287,000,000","19,480,000,000","19,373,000,000","19,167,000,000","17,852,000,000","16,682,000,000","14,397,000,000","13,023,000,000","14,056,000,000","12,586,000,000","9,737,000,000","8,130,000,000","6,919,000,000","5,645,000,000","6,902,000,000","11,221,000,000","6,746,000,000","4,240,000,000","2,917,617,000","2,241,378,000","1,409,862,000","644,152,000","382,000,000","196,900,000","104,500,000","59,500,000","22,900,000","11,500,000","2,400,000"
GrossProfit,"32,573,000,000","32,666,000,000","30,606,000,000","30,224,000,000","30,960,000,000","29,681,000,000","27,769,000,000","29,440,000,000","28,209,000,000","26,536,000,000","25,643,000,000","23,094,000,000","25,484,000,000","22,336,000,000","18,747,000,000","16,671,000,000","15,126,000,000","13,233,000,000","12,013,000,000","11,072,000,000","12,182,000,000","7,914,000,000","5,541,160,000","4,198,793,000","2,686,145,000","1,334,764,000","861,000,000","452,100,000","235,100,000","123,700,000","46,900,000","16,200,000","3,100,000"
OperatingExpense,"18,116,000,000","18,125,000,000","17,939,000,000","17,495,000,000","18,032,000,000","18,427,000,000","18,006,000,000","18,139,000,000","17,840,000,000","18,063,000,000","16,479,000,000","15,709,000,000","16,039,000,000","13,634,000,000","11,660,000,000","9,229,000,000","8,831,000,000","8,347,000,000","9,029,000,000","11,051,000,000","7,574,000,000","4,459,000,000","2,843,111,000","2,063,102,000","1,285,339,000","596,065,000","372,900,000","188,500,000","105,700,000","57,500,000","25,400,000","9,300,000","2,600,000"
	ResearchAndDevelopment,"6,535,000,000","6,577,000,000","6,332,000,000","6,059,000,000","6,296,000,000","6,207,000,000","6,294,000,000","5,942,000,000","5,488,000,000","5,823,000,000","5,273,000,000","5,208,000,000","5,153,000,000","4,499,000,000","4,067,000,000","3,322,000,000","3,192,000,000","3,135,000,000","3,448,000,000","3,922,000,000","2,704,000,000","1,594,000,000","1,020,446,000","698,172,000","399,291,000","164,819,000","88,800,000",,,,,,
	SellingGeneralAndAdministration,"11,435,000,000","11,398,000,000","11,386,000,000","11,177,000,000","11,433,000,000","11,861,000,000","11,437,000,000","11,802,000,000","11,969,000,000","11,720,000,000","10,715,000,000","9,968,000,000","10,387,000,000","8,728,000,000","7,200,000,000","5,680,000,000","5,397,000,000","4,818,000,000","4,882,000,000","6,074,000,000","4,579,000,000","2,865,000,000","1,822,665,000","1,364,930,000","886,048,000","431,246,000","253,300,000","174,900,000","99,000,000","54,500,000","24,400,000","9,200,000","2,500,000"
	OperatingExpense,"18,116,000,000","18,125,000,000","17,939,000,000","17,495,000,000","18,032,000,000","18,427,000,000","18,006,000,000","18,139,000,000","17,840,000,000","18,063,000,000","16,479,000,000","15,709,000,000","16,039,000,000","13,634,000,000","11,660,000,000","9,229,000,000","8,831,000,000","8,347,000,000","9,029,000,000","11,051,000,000","7,574,000,000","4,459,000,000","2,843,111,000","2,063,102,000","1,285,339,000","596,065,000","372,900,000","188,500,000","105,700,000","57,500,000","25,400,000","9,300,000","2,600,000"
OperatingIncome,"14,457,000,000","14,541,000,000","12,667,000,000","12,729,000,000","12,928,000,000","11,254,000,000","9,763,000,000","11,301,000,000","10,369,000,000","8,473,000,000","9,164,000,000","7,385,000,000","9,445,000,000","8,702,000,000","7,087,000,000","7,442,000,000","6,295,000,000","4,886,000,000","2,984,000,000","21,000,000","4,608,000,000","3,455,000,000","2,698,049,000","2,135,691,000","1,400,806,000","738,699,000","488,100,000","263,600,000","129,400,000","66,200,000","21,500,000","6,900,000","500,000"
InterestExpense,"670,000,000","859,000,000","943,000,000","861,000,000","676,000,000","566,000,000","564,000,000","583,000,000","596,000,000","628,000,000","623,000,000","346,000,000","319,000,000","377,000,000","148,000,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-457,000,000","-419,000,000","-193,000,000","-919,000,000","-337,000,000","-256,000,000","-175,000,000","-145,000,000","-264,000,000","-661,000,000","239,000,000","-191,000,000","-14,000,000","44,000,000","-61,000,000","42,000,000","185,000,000","-533,000,000","-1,169,000,000","-1,835,000,000","-842,000,000","-471,000,000","-588,284,000","-355,708,000",,"-95,760,000","21,400,000","11,600,000","6,700,000","4,600,000","2,100,000","200,000","100,000"
