name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalRevenue,"509,711,000,000","509,711,000,000","376,844,000,000","250,266,000,000","158,273,000,000","101,143,000,000","76,204,000,000","52,504,000,000","34,517,000,000","20,025,000,000","6,416,894,000","5,557,586,000","3,874,728,000","3,001,194,000","2,162,757,000","1,363,862,000"
	OperatingRevenue,"509,711,000,000","509,711,000,000","376,844,000,000","250,266,000,000","158,273,000,000","101,143,000,000","76,204,000,000","52,504,000,000","34,517,000,000","20,025,000,000","6,416,894,000","5,557,586,000","3,874,728,000","3,001,194,000","2,162,757,000","1,363,862,000"
CostOfRevenue,"282,367,000,000","282,367,000,000","206,929,000,000","107,044,000,000","59,483,000,000","34,355,000,000","23,834,000,000","13,369,000,000","9,719,000,000","6,554,000,000","1,259,979,000","931,016,000","534,438,000","387,368,000","280,113,000","237,625,000"
GrossProfit,"227,344,000,000","227,344,000,000","169,915,000,000","143,222,000,000","98,790,000,000","66,788,000,000","52,370,000,000","39,135,000,000","24,798,000,000","13,471,000,000","5,156,915,000","4,626,570,000","3,340,290,000","2,613,826,000","1,882,644,000","1,126,237,000"
OperatingExpense,"134,340,000,000","134,340,000,000","112,165,000,000","72,859,000,000","50,735,000,000","36,830,000,000","28,733,000,000","13,919,000,000","13,484,000,000","8,121,000,000","3,466,572,000","3,090,032,000","2,267,320,000","1,421,443,000","1,098,176,000","875,653,000"
	SellingGeneralAndAdministration,"78,870,000,000","78,870,000,000","64,669,000,000","43,540,000,000","28,553,000,000","20,512,000,000","16,313,000,000","8,763,000,000","6,502,000,000","5,269,000,000","2,681,905,000","2,618,885,000","2,033,553,000","1,412,230,000","966,681,000","770,167,000"
		GeneralAndAdministrativeExpense,"28,197,000,000","28,197,000,000","24,889,000,000","16,241,000,000","12,239,000,000","9,205,000,000","7,800,000,000","4,218,000,000","2,889,000,000","2,211,000,000","640,059,000","568,324,000","409,708,000","320,144,000",,
			OtherGandA,"28,197,000,000","28,197,000,000","24,889,000,000","16,241,000,000","12,239,000,000","9,205,000,000","7,800,000,000","4,218,000,000","2,889,000,000","2,211,000,000","640,059,000","568,324,000","409,708,000","320,144,000",,
		SellingAndMarketingExpense,"50,673,000,000","50,673,000,000","39,780,000,000","27,299,000,000","16,314,000,000","11,307,000,000","8,513,000,000","4,545,000,000","3,613,000,000","3,058,000,000","2,041,846,000","2,050,561,000","1,623,845,000","1,092,086,000",,
	ResearchAndDevelopment,"43,080,000,000","43,080,000,000","37,435,000,000","22,754,000,000","17,060,000,000","13,788,000,000","10,658,000,000","5,093,000,000","3,753,000,000","2,897,000,000","784,667,000","580,173,000","384,333,000","186,513,000","131,495,000","105,486,000"
