name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"4,025,000,000","-40,449,000,000","-54,066,000,000","39,576,000,000","70,610,000,000","67,252,000,000","-630,000,000","7,184,000,000","-24,447,000,000","7,802,000,000","-3,676,000,000","-13,786,000,000","37,204,983,620","16,816,160,660","-50,978,140,890","-63,911,734,070","-29,929,152,960","-8,803,410,610","-783,341,340","-13,234,040,250","-33,428,577,040"
	CashFlowFromContinuingOperatingActivities,"4,030,000,000","-40,449,000,000","-54,066,000,000","39,576,000,000","70,610,000,000","67,252,000,000","-630,000,000","7,184,000,000","-24,447,000,000","7,802,000,000","-3,676,000,000","-13,786,000,000","37,204,983,620","16,816,160,660","-50,978,140,890","-63,911,734,070","-29,929,152,960","-8,803,410,610","-783,341,340","-13,234,040,250","-33,428,577,040"
		NetIncomeFromContinuingOperations,"-2,236,000,000","-5,265,000,000","341,000,000","-735,000,000","-1,356,000,000","-6,772,000,000","1,691,000,000","681,000,000","291,000,000","4,326,000,000","2,330,000,000","4,958,000,000","-3,904,896,240","6,520,566,090","5,985,751,000","3,526,682,870","2,470,490,320","1,362,555,480","396,435,520","167,462,590","13,550,945,980"
		OperatingGainsLosses,"-700,000,000","-381,000,000","-748,000,000","-716,000,000","-1,082,000,000","-1,138,000,000","-960,000,000","-926,000,000","-1,023,000,000","-1,063,000,000","-820,000,000","-845,000,000","-1,736,227,780","-1,910,147,950","-953,174,020","-1,492,740,080","-475,803,600","-200,889,590","-4,931,619,750","-2,810,898,910","-4,172,716,060"
			GainLossOnInvestmentSecurities,"-610,000,000","-277,000,000","-619,000,000","-575,000,000","-899,000,000","-430,000,000","-391,000,000","-493,000,000","-626,000,000",,,,"-1,736,227,780","-1,910,147,950","-953,174,020","-1,492,740,080","-475,803,600","-200,889,590","-4,931,619,750","-2,810,898,910","-4,172,716,060"
			EarningsLossesFromEquityInvestments,"-90,000,000","-104,000,000","-129,000,000","-141,000,000","-183,000,000","-708,000,000","-569,000,000","-433,000,000","-397,000,000","-222,000,000","-457,000,000","-189,000,000",,,,,,,,,
		DepreciationAmortizationDepletion,,,,,,,,,,"3,697,000,000","4,255,000,000","1,782,000,000","3,054,381,680","1,733,879,360","1,557,052,950","1,472,476,640","1,774,858,080","3,066,543,860","2,847,474,360","4,894,628,050","3,329,441,980"
			DepreciationAndAmortization,,,,,,,,,,"3,697,000,000","4,255,000,000","1,782,000,000","3,054,381,680","1,733,879,360","1,557,052,950","1,472,476,640","1,774,858,080","3,066,543,860","2,847,474,360","4,894,628,050","3,329,441,980"
		DeferredTax,"-260,000,000","1,868,000,000","276,000,000","1,234,000,000","-312,000,000","-987,000,000","673,000,000","-179,000,000","720,000,000","-387,000,000","315,000,000","-296,000,000","-1,528,627,520","-919,751,670","84,103,590","963,357,710","837,266,800","268,382,140","2,481,533,880","-159,595,220","-8,355,014,780"
			DeferredIncomeTax,"-260,000,000","1,868,000,000","276,000,000","1,234,000,000","-312,000,000","-987,000,000","673,000,000","-179,000,000","720,000,000","-387,000,000","315,000,000","-296,000,000","-1,528,627,520","-919,751,670","84,103,590","963,357,710","837,266,800","268,382,140","2,481,533,880","-159,595,220","-8,355,014,780"
		OtherNonCashItems,"803,000,000","644,000,000","360,000,000","447,000,000","484,000,000","710,000,000","133,000,000","399,000,000","394,000,000",,,,"-1,741,974,500","-976,678,880","325,049,010","184,903,890","1,170,698,160","890,901,660","3,394,479,140","3,221,126,060","3,348,607,300"
		AssetImpairmentCharge,"2,499,000,000","3,993,000,000","2,391,000,000","2,159,000,000","3,745,000,000","8,908,000,000","4,567,000,000","2,443,000,000","3,235,000,000",,,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"1,689,000,000","723,000,000","525,000,000","525,000,000","1,383,000,000","956,000,000","1,134,000,000","2,065,000,000","1,721,000,000","1,839,000,000","1,274,000,000","2,630,000,000",,,,,,,,,
		ChangeInWorkingCapital,"2,230,000,000","-42,031,000,000","-57,211,000,000","36,662,000,000","67,748,000,000","65,575,000,000","-7,868,000,000","2,701,000,000","-29,785,000,000","-610,000,000","-11,030,000,000","-22,015,000,000","43,062,327,980","12,368,293,710","-57,976,923,420","-68,566,415,100","-35,706,662,720","-14,190,904,160","-4,971,644,490","-18,546,762,820","-41,129,841,460"
			ChangeInLoans,"-23,895,000,000","-52,401,000,000","-10,804,000,000","-8,821,000,000","19,886,000,000","-16,628,000,000","-30,469,000,000","-15,578,000,000","10,555,000,000","-7,092,000,000","-2,823,000,000","17,213,000,000",,,,,,,,,
			ChangeInOtherCurrentAssets,"20,876,000,000","7,464,000,000","6,284,000,000","21,970,000,000","-7,847,000,000","26,756,000,000","-28,812,000,000","12,048,000,000","32,254,000,000","-91,173,000,000","-38,834,000,000","47,230,000,000",,,,,,,,,
			ChangeInOtherCurrentLiabilities,"-14,314,000,000","-16,563,000,000","-19,119,000,000","-23,107,000,000","-12,888,000,000","-14,177,000,000","22,183,000,000","-17,625,000,000","-14,017,000,000","83,342,000,000","97,466,000,000","-118,088,000,000",,,,,,,,,
