name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"90,249,000,000","91,244,000,000","91,247,000,000","87,352,000,000","83,701,000,000","82,246,000,000","83,117,000,000","86,041,000,000","81,264,000,000","86,094,000,000","105,927,000,000","109,629,000,000","72,782,000,000","66,319,000,000","72,580,000,000","57,175,000,000","51,017,000,000","38,827,000,000","35,124,000,000","35,113,000,000","32,956,000,000","32,546,000,000","31,504,000,000","13,053,000,000","10,042,000,000","8,536,000,000","7,807,000,000","6,822,000,000","6,260,000,000"
InterestExpense,"16,175,000,000","22,345,000,000","19,337,000,000","12,912,000,000","9,961,000,000","10,549,000,000","10,934,000,000","12,755,000,000","16,744,000,000","21,620,000,000","23,974,000,000","30,807,000,000","40,324,000,000","52,871,000,000","43,994,000,000","27,889,000,000","14,430,000,000","10,179,000,000","11,238,000,000","18,003,000,000","24,816,000,000","19,086,000,000","20,290,000,000","8,681,000,000","7,467,000,000","7,773,000,000","5,318,000,000","3,570,000,000","3,682,000,000"
PretaxIncome,"23,358,000,000","32,754,000,000","34,584,000,000","29,213,000,000","25,153,000,000","22,154,000,000","6,855,000,000","16,172,000,000","3,072,000,000","-230,000,000","-1,323,000,000","4,360,000,000","4,428,000,000","20,924,000,000","31,973,000,000","24,480,000,000","21,221,000,000","15,861,000,000","12,991,000,000","10,117,000,000","11,788,000,000","12,215,000,000","8,048,000,000","4,796,000,000","3,634,000,000","2,991,000,000","2,555,000,000","1,991,000,000","1,396,000,000"
TaxProvision,"3,044,000,000","5,324,000,000","6,437,000,000","10,981,000,000","7,247,000,000","6,266,000,000","2,022,000,000","4,741,000,000","-1,116,000,000","-1,676,000,000","915,000,000","-1,916,000,000","420,000,000","5,942,000,000","10,840,000,000","8,015,000,000","7,078,000,000","5,051,000,000","3,742,000,000","3,325,000,000","4,271,000,000","4,333,000,000","2,883,000,000","1,719,000,000","1,259,000,000","1,041,000,000","865,000,000","690,000,000","251,000,000"
NetIncomeContinuousOperations,"20,314,000,000","27,430,000,000","28,147,000,000","18,232,000,000","17,906,000,000","15,888,000,000","4,833,000,000","11,431,000,000","4,188,000,000","1,446,000,000","-2,238,000,000","6,276,000,000","4,008,000,000","14,982,000,000","21,133,000,000","16,465,000,000","14,143,000,000","10,810,000,000","9,249,000,000","6,792,000,000","7,517,000,000","7,882,000,000","5,165,000,000","3,077,000,000","2,375,000,000","1,950,000,000","1,690,000,000","1,301,000,000","1,145,000,000"
NetIncome,"20,314,000,000","27,430,000,000","28,147,000,000","18,232,000,000","17,906,000,000","15,888,000,000","4,833,000,000","11,431,000,000","4,188,000,000","1,446,000,000","-2,238,000,000","6,276,000,000","4,008,000,000","14,982,000,000","21,133,000,000","16,465,000,000","14,143,000,000","10,810,000,000","9,249,000,000","6,792,000,000","7,517,000,000","7,882,000,000","5,165,000,000","3,077,000,000","2,375,000,000","1,950,000,000","1,690,000,000","1,501,000,000","1,145,000,000"
NetIncomeCommonStockholders,"18,845,000,000","25,998,000,000","26,696,000,000","16,618,000,000","16,224,000,000","14,405,000,000","3,789,000,000","10,082,000,000","2,760,000,000","85,000,000","-3,595,000,000","-2,210,000,000","2,556,000,000","14,800,000,000","21,111,000,000","16,447,000,000","14,127,000,000","10,806,000,000","9,244,000,000","6,787,000,000","7,511,000,000","7,876,000,000","5,140,000,000","3,066,000,000","2,360,000,000","1,942,000,000","1,680,000,000","1,491,000,000","1,121,000,000"
BasicEPS,,"2.77","2.64","1.63","1.58","1.38","0.36","0.94","0.26","0.01","-0.37","-0.29","0.56","3.35","4.66","4.1","3.76","3.635","3.04","2.13","2.28","2.28","1.485","2.135","2","1.783","1.53","1.445","1.15"
DilutedEPS,,"2.75","2.61","1.56","1.5","1.31","0.36","0.9","0.25","0.01","-0.37","-0.29","0.55","3.3","4.59","4.04","3.69","3.565","2.955","2.09","2.26","2.24","1.45","2.085","1.96","1.76","1.515","1.43","1.13"
BasicAverageShares,,"9,390,500,000","10,096,500,000","10,195,646,000","10,284,147,000","10,462,282,000","10,527,818,000","10,731,165,000","10,746,028,000","10,142,625,000","9,790,472,000","7,600,000,000","4,592,085,000","4,423,579,000","4,526,637,000","4,008,688,000","3,758,507,000","2,973,406,000","3,040,084,000","3,189,914,000","3,292,796,000","3,452,012,000","3,464,114,000","1,434,900,000","1,180,432,000","1,089,920,000","1,098,624,000","1,031,833,910","974,782,609"
DilutedAverageShares,,"9,442,900,000","10,236,900,000","10,778,428,000","11,035,657,000","11,213,992,000","10,584,535,000","11,491,418,000","10,840,854,000","10,254,824,000","9,790,472,000","7,600,000,000","4,612,491,000","4,480,254,000","4,595,896,000","4,068,140,000","3,823,943,000","3,030,356,000","3,128,257,191","3,247,368,421","3,323,451,327","3,516,071,429","3,544,827,586","1,470,503,597","1,204,081,633","1,103,409,091","1,108,910,891","1,042,657,343","992,035,398"
