name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalRevenue,"25,840,000,000","41,085,000,000","21,986,000,000","34,245,000,000","39,605,000,000","23,150,000,000","31,727,000,000","37,985,000,000","39,314,000,000","26,812,000,000","43,467,000,000","45,297,000,000","7,013,000,000","18,228,000,000","20,512,867,490","23,613,111,960","10,306,765,840","10,616,480,000",,"9,487,938,780",,"3,659,000,000",,,,
OperatingExpense,"20,774,000,000","35,649,000,000","14,123,000,000","26,575,000,000","33,737,000,000","21,012,000,000","26,685,000,000","34,718,000,000","32,983,000,000","17,540,000,000","29,632,000,000","35,263,000,000","2,792,000,000","13,089,000,000","14,711,547,430","18,494,254,680","5,882,504,880","6,144,880,000","880,000,000","5,930,477,910","583,000,000","3,373,000,000","457,000,000","502,000,000","487,000,000","536,000,000"
	SellingGeneralAndAdministration,"1,235,000,000","1,434,000,000","1,605,000,000","1,418,000,000","1,311,000,000","515,000,000","1,935,000,000","738,000,000","1,946,000,000","2,107,000,000","1,995,000,000","1,543,000,000","1,769,000,000","1,783,000,000","183,747,600","206,892,960","1,372,000,000","4,476,000,000",,,,"3,140,000,000",,,,
	OperatingExpense,"20,774,000,000","35,649,000,000","14,123,000,000","26,575,000,000","33,737,000,000","21,012,000,000","26,685,000,000","34,718,000,000","32,983,000,000","17,540,000,000","29,632,000,000","35,263,000,000","2,792,000,000","13,089,000,000","14,711,547,430","18,494,254,680","5,882,504,880","6,144,880,000","880,000,000","5,930,477,910","583,000,000","3,373,000,000","457,000,000","502,000,000","487,000,000","536,000,000"
InterestExpense,"3,939,000,000","6,681,000,000","2,953,000,000","5,094,000,000","7,346,000,000","6,297,000,000","8,551,000,000","13,825,000,000","14,460,000,000","13,618,000,000","16,794,000,000","19,212,000,000","9,851,000,000","10,775,000,000","8,776,499,950","6,916,385,160","5,472,715,920","4,887,680,000",,"6,434,262,270",,"5,713,000,000",,,,
PretaxIncome,"894,000,000","4,393,000,000","5,960,000,000","5,625,000,000","3,888,000,000","1,644,000,000","1,762,000,000","415,000,000","-570,000,000","-342,000,000","-2,919,000,000","1,042,000,000","807,000,000","4,000,000,000","4,142,487,560","3,757,199,400","3,423,771,120","4,273,360,000","2,607,000,000","3,479,002,650","3,860,000,000","3,621,000,000","3,015,000,000","3,162,000,000","2,505,000,000","1,900,000,000"
TaxProvision,"94,000,000","1,387,000,000","1,560,000,000","1,728,000,000","1,724,000,000","688,000,000","263,000,000","1,217,000,000","773,000,000","36,000,000","-325,000,000","-1,911,000,000","-38,000,000","679,000,000","1,340,336,660","1,264,604,160","1,003,618,000","1,023,680,000","764,000,000","973,157,220","1,105,000,000","1,101,000,000","882,000,000","813,000,000","786,000,000","642,000,000"
NetIncomeContinuousOperations,"800,000,000","3,006,000,000","4,400,000,000","3,897,000,000","2,164,000,000","956,000,000","1,499,000,000","-802,000,000","-1,343,000,000","-378,000,000","-2,594,000,000","2,953,000,000","845,000,000","3,321,000,000","2,802,150,900","2,492,595,240","2,420,153,120","3,249,680,000","1,843,000,000","2,505,845,430","2,755,000,000","2,526,000,000","2,133,000,000","2,349,000,000","1,719,000,000","1,258,000,000"
NetIncome,"732,000,000","2,925,000,000","4,302,000,000","3,807,000,000","2,063,000,000","860,000,000","1,412,000,000","-838,000,000","-1,427,000,000","-451,000,000","-2,656,000,000","2,827,000,000","819,000,000","3,289,000,000","2,802,150,900","2,492,595,240","2,420,153,120","3,249,680,000","1,781,000,000","2,505,845,430","2,706,000,000","2,520,000,000","2,120,000,000","2,335,000,000","1,575,000,000","1,130,000,000"
NetIncomeCommonStockholders,"283,000,000","2,459,000,000","3,975,000,000","3,494,000,000","1,742,000,000","546,000,000","1,187,000,000","-838,000,000","-1,427,000,000","-451,000,000","-2,656,000,000","2,827,000,000","819,000,000","3,289,000,000","2,802,150,900","2,492,595,240","2,420,153,120","3,249,680,000","1,781,000,000","2,505,845,430","2,706,000,000","2,514,000,000","2,120,000,000","2,335,000,000","1,575,000,000","1,130,000,000"
BasicEPS,,"0.14","0.22","0.176","0.116","0.032","0.068","-0.048","-0.08","-0.164","-0.02","0.3","0.558","2.275","1.947","1.74","1.67","2.275","1.249","1.573","1.924","1.803","1.534","1.705","1.218","0.878"
DilutedEPS,,"0.136","0.22","0.172","0.116","0.032","0.064","-0.048","-0.08","-0.164","-0.02","0.3","0.554","2.26","1.932","1.725","1.659","2.267","1.241","1.557","1.904","1.768","1.502","1.67","1.218","0.878"
BasicAverageShares,,"17,650,750,000","17,909,500,000","17,927,500,000","17,808,500,000","17,818,000,000","17,837,500,000","17,752,250,000","17,460,250,000","17,117,500,000","16,779,250,000","9,418,500,000","1,471,387,500","1,444,481,250","1,439,100,000","1,433,718,750","1,432,437,500","1,430,131,250","1,427,312,500","1,417,831,250","1,406,043,750","1,394,399,351","1,383,750,000","1,368,631,250","1,295,087,500","1,285,350,000"
DilutedAverageShares,,"17,821,250,000","18,069,750,000","18,098,250,000","18,006,000,000","18,085,000,000","18,111,750,000","17,752,250,000","17,460,250,000","17,117,500,000","16,779,250,000","9,482,250,000","1,481,381,250","1,456,268,750","1,452,168,750","1,444,993,750","1,441,406,250","1,434,743,750","1,434,231,250","1,430,643,750","1,420,906,250","1,422,102,649","1,410,912,500","1,368,631,250","1,295,087,500","1,285,350,000"
