name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
TotalRevenue,"237,213,000,000","327,223,000,000","225,382,000,000","242,137,000,000","223,604,000,000","210,821,000,000","194,673,000,000","182,150,000,000","162,463,000,000","143,688,000,000","136,185,000,000","112,493,000,000","107,786,000,000","118,245,000,000","98,539,000,000","81,663,000,000","74,382,000,000","63,859,000,000","42,353,000,000","37,503,000,000","33,976,000,000","24,028,000,000","13,832,000,000","10,430,000,000","10,500,300,000","3,713,400,000","3,847,500,000","2,619,200,000","3,029,300,000","2,427,500,000","1,580,100,000","2,483,900,000","2,464,900,000"
InterestExpense,"3,994,000,000","3,961,000,000","3,853,000,000","5,394,000,000","3,497,000,000","3,515,000,000","3,253,000,000","2,801,000,000","2,744,000,000","2,664,000,000","2,558,000,000","1,992,000,000","1,963,000,000","1,910,000,000","1,724,000,000","723,000,000","721,000,000","472,000,000","725,000,000","209,000,000","144,000,000","134,000,000","109,000,000","111,900,000","99,700,000","59,300,000","60,100,000","80,700,000","124,500,000","121,800,000","112,700,000",,
OtherIncomeExpense,"183,297,000,000","184,298,000,000","182,741,000,000","172,830,000,000","163,239,000,000","152,435,000,000","142,881,000,000","132,385,000,000","118,387,000,000","33,230,000,000","96,192,000,000","76,691,000,000","82,966,000,000","74,257,000,000","65,948,000,000","49,217,000,000","42,967,000,000","34,046,000,000","17,976,000,000","14,902,000,000","5,306,000,000","3,729,000,000","3,838,000,000","31,800,000","25,300,000","3,713,400,000",,"2,619,200,000",,"1,169,300,000","1,580,100,000",,
PretaxIncome,"12,000,000,000","102,696,000,000","4,001,000,000","23,838,000,000","33,667,000,000","34,946,000,000","28,105,000,000","28,796,000,000","22,236,000,000","15,314,000,000","19,051,000,000","11,552,000,000","7,574,000,000","20,161,000,000","16,778,000,000","12,791,000,000","10,936,000,000","12,020,000,000","6,435,000,000","1,469,000,000","5,587,000,000","2,450,000,000","4,314,000,000","2,827,600,000","3,705,900,000","0","0","0","0","0","0",,
TaxProvision,"1,637,000,000","20,904,000,000","-321,000,000","-21,515,000,000","9,240,000,000","10,532,000,000","7,935,000,000","8,951,000,000","6,924,000,000","4,568,000,000","5,607,000,000","3,538,000,000","1,978,000,000","6,594,000,000","5,505,000,000","4,159,000,000","3,569,000,000","3,805,000,000","2,134,000,000","620,000,000","2,018,000,000","852,000,000","1,457,000,000","897,700,000","1,196,800,000","270,300,000","158,700,000","420,700,000","138,100,000","142,100,000","112,000,000",,
NetIncomeContinuousOperations,"10,363,000,000","81,792,000,000","4,322,000,000","45,353,000,000","24,427,000,000","24,414,000,000","20,170,000,000","19,845,000,000","15,312,000,000","10,746,000,000","13,494,000,000","8,441,000,000","5,596,000,000","13,567,000,000","11,273,000,000","8,632,000,000","7,308,000,000","8,215,000,000","4,301,000,000","849,000,000","3,328,000,000","1,557,000,000","2,830,000,000","1,929,900,000","2,509,100,000","725,200,000","494,800,000","759,100,000","407,300,000","439,900,000","394,100,000","447,500,000","399,300,000"
NetIncome,"10,010,000,000","81,417,000,000","4,021,000,000","44,940,000,000","24,074,000,000","24,083,000,000","19,872,000,000","19,476,000,000","14,824,000,000","10,254,000,000","12,967,000,000","8,055,000,000","4,994,000,000","13,213,000,000","11,015,000,000","8,528,000,000","7,308,000,000","8,151,000,000","4,286,000,000","795,000,000","3,328,000,000","1,557,000,000","2,830,000,000","1,901,600,000","2,488,600,000","725,200,000","494,800,000","688,100,000","407,300,000","439,900,000","394,100,000","447,500,000","399,300,000"
NetIncomeCommonStockholders,"10,010,000,000","81,417,000,000","4,021,000,000","44,940,000,000","24,074,000,000","24,083,000,000","19,872,000,000","19,476,000,000","14,824,000,000","10,254,000,000","12,967,000,000","8,055,000,000","4,994,000,000","13,213,000,000","11,015,000,000","8,528,000,000","7,308,000,000","8,151,000,000","4,286,000,000","795,000,000","3,328,000,000","1,557,000,000","2,830,000,000","1,901,600,000","2,488,600,000","725,200,000","494,800,000","688,100,000","407,300,000","439,900,000","394,100,000","447,500,000","399,300,000"
BasicEPS,,"33.219","1.631","18.217","9.763","9.771","8.061","7.9","5.985","4.143","5.285","3.462","2.149","5.699","4.763","3.692","3.169","3.539","1.863","0.347","1.457","0.683","1.508","1.028","1.377","0.446","0.313","0.448","0.237","0.256","0.229","0.26","0.232"
DilutedEPS,,"33.219","1.631","18.217","9.763","9.771","8.061","7.9","5.985","4.143","5.285","3.462","2.149","5.699","4.763","3.692","3.169","3.539","1.863","0.347","1.457","0.683","1.508","1.028","1.377","0.446","0.313","0.448","0.237","0.256","0.229","0.26","0.232"
BasicAverageShares,,"2,450,917,775","2,465,691,267","2,466,921,267","2,465,737,767","2,464,773,268","2,465,182,767","2,465,418,267","2,476,939,762","2,474,835,263","2,453,490,273","2,326,759,837","2,323,438,838","2,318,625,341","2,312,709,344","2,309,661,345","2,306,572,847","2,303,106,348","2,299,939,850","2,290,849,855","2,284,398,358","2,279,553,360","1,877,043,561","1,849,787,075","1,807,884,596","1,624,526,898","1,580,695,210","1,766,999,117","1,719,822,358","1,718,358,516","1,718,458,443","1,721,108,855","1,719,983,059"
