name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
OperatingCashFlow,,"10,404,000,000","-1,054,000,000","28,398,000,000","22,730,000,000","21,115,000,000","-13,585,000,000","2,092,000,000","29,817,000,000","37,928,000,000","5,380,000,000","6,828,000,000","-9,688,000,000","11,108,000,000","7,837,000,000","2,829,000,000"
	NetIncome,"2,236,000,000","3,248,000,000","3,864,000,000","2,806,000,000","3,874,000,000","4,001,000,000","2,692,000,000","2,175,000,000","774,000,000","2,385,000,000","3,917,000,000","1,108,000,000","2,773,000,000","1,604,000,000","5,785,000,000","4,916,000,000"
	DepreciationAndAmortization,,"5,181,000,000","4,589,000,000","4,283,000,000","3,876,000,000","3,597,000,000","3,421,000,000","3,358,000,000","3,262,000,000","3,131,000,000","2,910,000,000","12,896,000,000","2,649,000,000","7,503,000,000","10,023,000,000","9,069,000,000"
	ChangeInWorkingCapital,,"4,221,000,000","-12,745,000,000","20,106,000,000","10,468,000,000","8,533,000,000","-25,906,000,000","-7,865,000,000","21,226,000,000","27,777,000,000","-11,860,000,000","-6,051,000,000","-9,724,000,000","7,328,000,000","-33,000,000","-5,170,000,000"
	FreeCashFlow,,"3,194,000,000","-8,675,000,000","22,470,000,000","17,199,000,000","16,613,000,000","-16,992,000,000","-1,738,000,000","25,791,000,000","34,013,000,000","2,764,000,000","4,697,000,000","-12,981,000,000","7,562,000,000","4,326,000,000","-332,000,000"
	OtherNonCashItems,,,,,,,,,,,,"711,000,000","1,238,000,000","-8,492,000,000","-7,620,000,000","-5,670,000,000"
	OperatingCashFlow,,"10,404,000,000","-1,054,000,000","28,398,000,000","22,730,000,000","21,115,000,000","-13,585,000,000","2,092,000,000","29,817,000,000","37,928,000,000","5,380,000,000","6,828,000,000","-9,688,000,000","11,108,000,000","7,837,000,000","2,829,000,000"
InvestingCashFlow,,"-6,976,000,000","-13,549,000,000","-6,208,000,000","-4,237,000,000","-2,505,000,000","726,000,000","-2,960,000,000","-3,001,000,000","-1,979,000,000","-2,455,000,000","-3,584,000,000","-4,104,000,000","-3,108,000,000","-4,795,000,000","-1,138,000,000"
	CapitalExpenditure,,"-7,210,000,000","-7,621,000,000","-5,928,000,000","-5,531,000,000","-4,502,000,000","-3,407,000,000","-3,830,000,000","-4,026,000,000","-3,915,000,000","-2,616,000,000","-2,131,000,000","-3,293,000,000","-3,546,000,000","-3,511,000,000","-3,161,000,000"
	PurchaseOfInvestment,,,,,,,,,,,,"-1,453,000,000","-811,000,000",,"-1,284,000,000",
	SaleOfInvestment,,,,,,,,,,,,,,"438,000,000",,"2,023,000,000"
	InvestingCashFlow,,"-6,976,000,000","-13,549,000,000","-6,208,000,000","-4,237,000,000","-2,505,000,000","726,000,000","-2,960,000,000","-3,001,000,000","-1,979,000,000","-2,455,000,000","-3,584,000,000","-4,104,000,000","-3,108,000,000","-4,795,000,000","-1,138,000,000"
ChangeInCashSupplementalAsReported,,"6,824,000,000","-17,617,000,000","18,023,000,000","18,442,000,000","21,492,000,000","-10,183,000,000","-1,437,000,000","23,739,000,000","31,975,000,000","1,028,000,000","5,834,000,000","-2,913,000,000","5,824,000,000","3,108,000,000","819,000,000"
BeginningCashPosition,,"101,656,000,000","119,273,000,000","101,250,000,000","82,808,000,000","61,316,000,000","71,499,000,000","74,351,000,000","50,612,000,000","18,637,000,000","17,609,000,000","11,775,000,000","14,688,000,000","8,864,000,000","5,756,000,000","4,937,000,000"
EndCashPosition,,"108,480,000,000","101,656,000,000","119,273,000,000","101,250,000,000","82,808,000,000","61,316,000,000","72,914,000,000","74,351,000,000","50,612,000,000","18,637,000,000","17,609,000,000","11,775,000,000","14,688,000,000","8,864,000,000","5,756,000,000"
FreeCashFlow,,"3,194,000,000","-8,675,000,000","22,470,000,000","17,199,000,000","16,613,000,000","-16,992,000,000","-1,738,000,000","25,791,000,000","34,013,000,000","2,764,000,000","4,697,000,000","-12,981,000,000","7,562,000,000","4,326,000,000","-332,000,000"
	OperatingCashFlow,,"10,404,000,000","-1,054,000,000","28,398,000,000","22,730,000,000","21,115,000,000","-13,585,000,000","2,092,000,000","29,817,000,000","37,928,000,000","5,380,000,000","6,828,000,000","-9,688,000,000","11,108,000,000","7,837,000,000","2,829,000,000"
	CapitalExpenditure,,"-7,210,000,000","-7,621,000,000","-5,928,000,000","-5,531,000,000","-4,502,000,000","-3,407,000,000","-3,830,000,000","-4,026,000,000","-3,915,000,000","-2,616,000,000","-2,131,000,000","-3,293,000,000","-3,546,000,000","-3,511,000,000","-3,161,000,000"
	FreeCashFlow,,"3,194,000,000","-8,675,000,000","22,470,000,000","17,199,000,000","16,613,000,000","-16,992,000,000","-1,738,000,000","25,791,000,000","34,013,000,000","2,764,000,000","4,697,000,000","-12,981,000,000","7,562,000,000","4,326,000,000","-332,000,000"
