name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
OperatingCashFlow,,"23,868,000,000","20,421,000,000","-17,742,000,000","5,570,000,000","6,961,000,000","-7,623,000,000","4,543,000,000","12,879,000,000","21,645,000,000","-6,157,000,000","48,875,000,000","1,894,000,000","-68,197,000,000","-47,617,000,000","-12,413,000,000","-33,612,000,000","-15,655,000,000","-10,077,000,000","-15,176,000,000","11,135,000,000","-12,589,000,000"
	NetIncome,"7,430,000,000","8,466,000,000","10,459,000,000","4,286,000,000","7,398,000,000","6,083,000,000","8,477,000,000","8,040,000,000","7,475,000,000","4,442,000,000","8,354,000,000","13,385,000,000","2,322,000,000","11,599,000,000","9,537,000,000","5,626,000,000","4,553,000,000","3,005,000,000","2,114,000,000","2,310,000,000","3,067,000,000","2,708,000,000"
	DepreciationAndAmortization,,"1,704,000,000","1,328,000,000","1,152,000,000","998,000,000","991,000,000","1,337,000,000","1,322,000,000","1,738,000,000","1,869,000,000","1,904,000,000","1,943,000,000","1,625,000,000","1,167,000,000","995,000,000","854,000,000","624,000,000","881,000,000","744,000,000","873,000,000","486,000,000","337,000,000"
	DeferredIncomeTax,,"-334,000,000","-2,645,000,000","5,458,000,000","551,000,000","425,000,000","495,000,000","29,000,000","-356,000,000","726,000,000","1,339,000,000","-431,000,000","-1,763,000,000","129,000,000","-1,505,000,000","-450,000,000","1,040,000,000","93,000,000","230,000,000","52,000,000","-352,000,000","-1,387,000,000"
	StockBasedCompensation,,"2,018,000,000","1,831,000,000","1,769,000,000","2,111,000,000","2,272,000,000","2,085,000,000","2,015,000,000","1,319,000,000","2,849,000,000","4,035,000,000","2,009,000,000",,,,,,,,,,
	ChangeInWorkingCapital,,"10,969,000,000","8,934,000,000","-30,293,000,000","-5,491,000,000","-2,776,000,000","-19,728,000,000","-6,652,000,000","3,197,000,000","11,759,000,000","-21,789,000,000","31,969,000,000","19,085,000,000","-93,519,000,000","-44,413,000,000","-48,876,000,000","-5,481,000,000","-21,143,000,000","-12,244,000,000","-19,200,000,000","5,722,000,000","-2,537,000,000"
	ChangeInAccountPayable,,,,,,,,"1,631,000,000","-17,661,000,000",,,,,,,,,,,,,
	FreeCashFlow,,"15,425,000,000","12,439,000,000","-20,927,000,000","2,694,000,000","5,128,000,000","-8,301,000,000","3,837,000,000","11,918,000,000","20,461,000,000","-7,384,000,000","47,319,000,000","-12,000,000","-70,234,000,000","-49,292,000,000","-13,834,000,000","-34,220,000,000","-16,247,000,000","-11,085,000,000","-16,546,000,000","7,595,000,000","-13,432,000,000"
	OtherNonCashItems,,,,,,,,,,,,,"-19,375,000,000","12,427,000,000","-12,231,000,000","30,433,000,000","-34,348,000,000","1,509,000,000","-921,000,000","789,000,000","2,212,000,000","-11,710,000,000"
	OperatingCashFlow,,"23,868,000,000","20,421,000,000","-17,742,000,000","5,570,000,000","6,961,000,000","-7,623,000,000","4,543,000,000","12,879,000,000","21,645,000,000","-6,157,000,000","48,875,000,000","1,894,000,000","-68,197,000,000","-47,617,000,000","-12,413,000,000","-33,612,000,000","-15,655,000,000","-10,077,000,000","-15,176,000,000","11,135,000,000","-12,589,000,000"
