name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"21,839,000,000","20,724,000,000","19,394,000,000","19,255,000,000","18,223,000,000","21,895,000,000","24,037,000,000","23,837,000,000","21,583,000,000","26,225,000,000","31,544,000,000","33,294,000,000","9,268,000,000","37,338,152,850","38,634,725,400","60,774,282,000","53,940,686,800","51,474,706,400","70,656,113,320","75,664,155,120","66,761,973,500"
InterestExpense,"11,009,000,000","13,167,000,000","12,604,000,000","10,500,000,000","9,812,000,000","10,042,000,000","10,027,000,000","11,441,000,000","14,955,000,000","16,569,000,000","18,992,000,000","18,397,000,000","39,403,000,000","54,044,063,550","43,740,808,200","29,404,659,000","18,981,177,600","16,627,048,880","20,302,781,760","35,645,876,910","31,708,096,800"
PretaxIncome,"5,108,000,000","4,720,000,000","3,372,000,000","1,793,000,000","-2,266,000,000","-2,422,000,000","3,627,000,000","4,096,000,000","2,181,000,000","3,461,000,000","7,487,000,000","8,077,000,000","-14,902,000,000","7,166,320,650","10,679,349,000","7,235,598,000","7,165,804,800","1,661,713,560","-3,235,894,070","2,079,800,010","5,955,779,300"
TaxProvision,"898,000,000","1,295,000,000","1,361,000,000","2,741,000,000","441,000,000","523,000,000","1,405,000,000","1,276,000,000","496,000,000","671,000,000","1,548,000,000","1,835,000,000","-4,596,000,000","846,299,700","2,390,808,000","1,359,144,000","1,439,314,800","-12,391,600","597,140,640","487,115,430","1,497,434,600"
NetIncomeContinuousOperations,"4,210,000,000","3,425,000,000","2,011,000,000","-948,000,000","-2,707,000,000","-2,945,000,000","2,222,000,000","2,820,000,000","1,685,000,000","2,790,000,000","5,939,000,000","6,242,000,000","-10,306,000,000","6,320,020,950","8,288,541,000","5,876,454,000","5,726,490,000","1,674,105,160","-3,833,034,710","1,592,684,580","4,458,344,700"
NetIncome,"4,209,000,000","3,419,000,000","2,024,000,000","-983,000,000","-2,710,000,000","-2,944,000,000","1,875,000,000","2,326,000,000","1,349,000,000","1,953,000,000","5,098,000,000","6,724,000,000","-8,218,000,000","6,320,020,950","11,336,821,200","5,863,284,000","5,620,507,200","770,757,520","-3,311,918,920","1,592,684,580","4,495,538,000"
NetIncomeCommonStockholders,"4,209,000,000","3,419,000,000","2,024,000,000","-983,000,000","-2,713,000,000","-2,944,000,000","1,822,000,000","2,090,000,000","1,118,000,000","1,953,000,000","5,098,000,000","6,724,000,000","-8,218,000,000","6,320,020,950","11,336,821,200","5,863,284,000","5,620,507,200","770,757,520","-3,311,918,920","1,592,684,580","4,495,538,000"
BasicEPS,,"1.35","0.691","-0.41","-1.148","-1.669","1.135","1.547","0.833","1.254","3.58","4.834","-7.168","6.816","9.423","4.73","4.404","0.605","-2.544","1.222","3.917"
DilutedEPS,,"1.32","0.691","-0.41","-1.148","-1.669","1.125","1.547","0.824","1.245","3.561","4.706","-7.168","6.385","8.993","4.593","4.358","0.587","-2.544","1.212","3.779"
BasicAverageShares,,"2,524,200,000","2,550,584,029","2,413,800,000","2,122,869,582","1,768,332,536","1,723,544,639","1,634,509,761","1,397,697,717","1,309,112,781","1,305,071,298","1,282,570,069","1,146,419,064","927,229,660","1,203,132,316","1,239,659,899","1,276,202,161","1,273,113,721","1,300,053,531","1,304,296,631","1,148,869,127"
DilutedAverageShares,,"2,586,800,000","2,550,584,029","2,413,800,000","2,122,869,582","1,768,332,536","1,737,406,357","1,637,921,876","1,405,016,078","1,318,069,581","1,311,952,742","1,321,674,147","1,146,419,064","989,844,409","1,260,657,462","1,276,701,488","1,289,636,019","1,312,899,986","1,300,053,531","1,314,516,947","1,191,169,830"
