name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989
TotalRevenue,"16,347,000,000","16,603,000,000","17,466,000,000","16,616,000,000","20,886,000,000","18,966,000,000","18,270,000,000","28,694,000,000","16,787,000,000","16,149,000,000","15,320,000,000","15,826,000,000","14,472,000,000","21,574,000,000","12,580,000,000","11,321,000,000","10,898,000,000","14,324,000,000","11,186,000,000","6,960,000,000","6,371,000,000","6,066,000,000","5,858,000,000","5,259,000,000","5,059,000,000","4,523,000,000","4,232,000,000","-4,310,600,000","-4,877,500,000","-6,704,200,000","-7,828,300,000","-5,487,500,000"
InterestExpense,"13,254,000,000","15,645,000,000","15,038,000,000","14,221,000,000","14,699,000,000","16,437,000,000","17,039,000,000","17,960,000,000","21,300,000,000","21,236,000,000","17,568,000,000","19,034,000,000","28,287,000,000","21,212,000,000","16,867,000,000","13,790,000,000","11,459,000,000","9,681,000,000","9,253,000,000","12,959,000,000","11,146,000,000","9,000,000,000","9,569,000,000","7,578,000,000","6,958,000,000","5,646,000,000","3,740,000,000","4,310,600,000","4,877,500,000","6,704,200,000","7,828,300,000","5,487,500,000"
PretaxIncome,"4,842,000,000","7,177,000,000","8,400,000,000","8,661,000,000","8,978,000,000","9,080,000,000","7,955,000,000","8,201,000,000","6,159,000,000","6,728,000,000","5,676,000,000","4,983,000,000","3,147,000,000","7,827,000,000","7,275,000,000","6,539,000,000","4,741,000,000","5,628,000,000","4,341,000,000","3,979,000,000","4,873,000,000","4,141,000,000","2,974,000,000","3,316,000,000","3,062,000,000","2,879,000,000","2,669,000,000","1,950,000,000","1,174,900,000","1,155,700,000","1,288,000,000","1,322,000,000"
TaxProvision,"1,447,000,000","2,087,000,000","2,455,000,000","2,480,000,000","2,553,000,000","2,717,000,000","2,657,000,000","2,741,000,000","2,076,000,000","1,508,000,000","1,451,000,000","2,394,000,000","39,000,000","2,255,000,000","2,134,000,000","6,539,000,000","4,741,000,000","5,628,000,000","4,341,000,000","3,979,000,000","4,873,000,000","4,141,000,000","2,974,000,000","3,316,000,000","3,062,000,000","2,879,000,000","2,669,000,000","1,950,000,000","1,174,900,000","1,155,700,000","1,288,000,000","1,322,000,000"
NetIncomeContinuousOperations,"3,395,000,000","5,090,000,000","5,945,000,000","6,181,000,000","6,425,000,000","6,363,000,000","5,298,000,000","5,460,000,000","4,083,000,000","5,220,000,000","4,225,000,000","2,589,000,000","3,108,000,000","5,572,000,000","5,141,000,000","4,742,000,000","3,551,000,000","3,947,000,000","3,379,000,000","2,088,000,000","3,241,000,000","2,820,000,000","2,015,000,000","2,220,999,936","2,103,000,064","1,973,000,000","1,716,000,000","1,139,000,000","674,900,000","719,400,000","766,000,000","781,900,000"
NetIncome,"3,417,000,000","4,798,000,000","5,554,000,000","5,285,000,000","352,000,000","6,338,000,000","5,295,000,000","5,452,000,000","4,082,000,000","5,219,000,000","4,224,000,000","2,589,000,000","4,536,000,000","4,578,000,000","4,392,000,000","-610,000,000","-374,000,000","8,000,000","-6,000,000","-5,000,000","-2,000,000","1,000,000","-1,000,000","2,000,000","-1,000,000","-4,000,000","-8,000,000","-10,000,000","200,000","1,000,000","-10,500,000","9,700,000"
NetIncomeCommonStockholders,"3,334,000,000","4,715,000,000","5,454,000,000","5,187,000,000","228,000,000","6,163,000,000","5,103,000,000","5,425,000,000","3,837,000,000","4,957,000,000","3,971,000,000","2,316,000,000","4,224,000,000","4,295,000,000","4,138,000,000","-814,000,000","-561,000,000","-175,000,000","-193,000,000","-218,000,000","-200,000,000","1,000,000","-1,000,000","2,000,000","-1,000,000","-4,000,000","-8,000,000","-10,000,000","200,000","1,000,000","-10,500,000","9,700,000"
BasicEPS,,"1.686","2.013","1.947","0.088","2.527","2.19","2.263","1.728","2.303","1.891","1.217","2.59","2.652","2.589","2.483","1.945","2.453","2.028","1.203","2.083","1.84","1.38","1.499","1.43","1.39","1.255","0.859","0.533","0","0","0"
DilutedEPS,,"1.644","1.94","1.891","0.088","2.454","2.152","2.243","1.719","2.282","1.879","1.208","2.572","2.646","2.581","2.446","1.933","2.402","1.996","1.203","2.011","1.79","1.361","1.479","1.43","1.39","1.253","0.859","0.533","0","0","0"
BasicAverageShares,,"2,797,000,000","2,709,460,000","2,664,511,000","2,596,957,000","2,438,782,000","2,329,990,384","2,314,822,527","2,220,176,072","2,152,250,363","2,157,163,637","1,903,661,417","1,630,641,002","1,619,463,405","1,622,799,441","1,581,414,946","1,536,939,876","1,537,549,471","1,571,290,193","1,560,636,990","1,524,751,021","1,493,197,131","1,468,352,327","1,432,595,356","1,497,656,550","1,416,424,587","1,363,041,784","1,314,748,368","1,281,500,341","1,081,816,232","897,455,008","822,555,412"
DilutedAverageShares,,"2,868,004,866","2,811,340,206","2,742,993,125","2,596,957,000","2,511,409,943","2,371,038,939","2,334,898,610","2,231,578,519","2,171,874,755","2,157,163,637","1,917,649,891","1,642,164,593","1,623,108,344","1,622,799,441","1,581,414,946","1,536,939,876","1,537,549,471","1,571,290,193","1,560,636,990","1,524,751,021","1,493,197,131","1,468,352,327","1,432,595,356","1,497,656,550","1,416,424,587","1,363,041,784","1,314,748,368","1,281,500,341","1,081,816,232","897,455,008","822,555,412"
