name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
OperatingCashFlow,"14,591,000,000","13,625,000,000","14,272,000,000","12,621,000,000","11,475,000,000","11,897,000,000","13,897,000,000","13,174,000,000","14,194,000,000","14,309,000,000","14,067,000,000","12,191,000,000","9,664,000,000","9,210,000,000","9,018,000,000","8,080,000,000","6,725,000,000","6,652,000,000","5,830,000,000","4,431,000,000","4,641,000,000","4,335,000,000","4,277,616,279.07"
	NetIncome,"7,210,000,000","11,732,000,000","12,611,000,000","7,703,000,000","6,712,000,000","17,783,000,000","10,210,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,195,000,000","11,946,000,000","7,175,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
	DepreciationAndAmortization,"6,452,000,000","5,826,000,000","6,892,000,000","6,076,000,000","6,043,000,000","5,471,000,000","4,682,000,000","4,925,000,000","4,920,000,000",,,,"2,670,000,000",,"1,987,000,000","1,765,000,000","1,388,000,000","1,386,000,000","690,000,000","585,000,000","918,000,000","949,000,000","1,008,720,930.233"
	DeferredIncomeTax,"1,865,000,000","1,793,000,000","1,221,000,000","1,296,000,000","1,119,000,000","1,106,000,000","1,545,000,000","1,443,000,000","1,625,000,000","-2,435,000,000","-2,616,000,000",,,,,,,,,,,,
	StockBasedCompensation,"763,000,000","758,000,000","759,000,000","683,000,000","671,000,000","773,000,000","744,000,000","730,000,000","746,000,000",,,,,,,,,,,,,,
	ChangeInWorkingCapital,"1,761,000,000","2,070,000,000","1,375,000,000","404,000,000","879,000,000","779,000,000","865,000,000","68,000,000","399,000,000","-113,000,000","1,762,000,000","688,000,000","-630,000,000","-535,000,000","166,000,000","872,000,000","132,000,000","457,000,000","-126,000,000","124,000,000","-202,000,000","-618,000,000","-670,058,139.535"
	ChangesInAccountReceivables,,"-980,000,000","-569,000,000","-204,000,000","-229,000,000","-513,000,000","-367,000,000","-411,000,000","369,000,000",,,,,,,,,,,,,,
	ChangeInInventory,,"-382,000,000","-533,000,000","-247,000,000","-235,000,000","-482,000,000","-506,000,000","-653,000,000","-701,000,000","45,000,000",,"237,000,000","-571,000,000",,"-117,000,000","175,000,000","23,000,000","-78,000,000","-490,000,000","-46,000,000","140,000,000","295,000,000",
	ChangeInAccountPayable,,"553,000,000","309,000,000","58,000,000","-587,000,000","378,000,000","142,000,000","502,000,000","515,000,000",,,,,,,,,,,,,,
	FreeCashFlow,"12,458,000,000","11,368,000,000","10,917,000,000","9,875,000,000","8,596,000,000","8,392,000,000","10,493,000,000","9,603,000,000","11,126,000,000","11,922,000,000","11,835,000,000","9,458,000,000","7,348,000,000","6,077,000,000","6,696,000,000","6,892,000,000","5,456,000,000","5,323,000,000","4,644,000,000","3,616,000,000","3,816,000,000","3,473,000,000","3,148,255,813.953"
	OtherNonCashItems,"-78,000,000","-124,000,000","294,000,000","-411,000,000","-537,000,000","593,000,000","139,000,000","-207,000,000","-161,000,000","7,208,000,000","4,381,000,000","1,037,000,000","1,114,000,000","4,876,000,000","257,000,000","-352,000,000","-219,000,000","-248,000,000","-224,000,000","-254,000,000",,,"3,938,953,488.372"
	OperatingCashFlow,"14,591,000,000","13,625,000,000","14,272,000,000","12,621,000,000","11,475,000,000","11,897,000,000","13,897,000,000","13,174,000,000","14,194,000,000","14,309,000,000","14,067,000,000","12,191,000,000","9,664,000,000","9,210,000,000","9,018,000,000","8,080,000,000","6,725,000,000","6,652,000,000","5,830,000,000","4,431,000,000","4,641,000,000","4,335,000,000","4,277,616,279.07"
InvestingCashFlow,"-13,646,000,000","-2,226,000,000","-5,591,000,000","-3,119,000,000","-3,441,000,000","-10,784,000,000","881,000,000","-3,352,000,000","-5,675,000,000","-792,000,000","-15,756,000,000","-14,219,000,000","-10,367,000,000","-6,244,000,000","-6,575,000,000","-7,482,000,000","-3,219,000,000","-1,298,000,000","-3,182,000,000","-2,821,000,000","-131,000,000","-1,897,000,000","-949,854,651.163"
	CapitalExpenditure,"-2,133,000,000","-2,257,000,000","-3,355,000,000","-2,746,000,000","-2,879,000,000","-3,505,000,000","-3,404,000,000","-3,571,000,000","-3,068,000,000","-2,387,000,000","-2,232,000,000","-2,733,000,000","-2,316,000,000","-3,133,000,000","-2,322,000,000","-1,188,000,000","-1,269,000,000","-1,329,000,000","-1,186,000,000","-815,000,000","-825,000,000","-862,000,000","-1,129,360,465.116"
	PurchaseOfBusiness,"-13,286,000,000","-3,766,000,000","-13,922,000,000","-784,000,000","-765,000,000","-16,507,000,000","-331,000,000","-94,000,000","-1,741,000,000","-581,000,000","-26,666,000,000","-925,000,000",,"-52,000,000",,,,,,,,,
	PurchaseOfInvestment,"-691,000,000","-530,000,000","-2,702,000,000","-1,048,000,000","-777,000,000","-859,000,000","-408,000,000","-443,000,000","-1,819,000,000","-1,937,000,000","-40,708,000,000","-14,341,000,000","-4,020,000,000","-7,543,000,000","-4,736,000,000","-4,040,000,000","-7,315,000,000","-10,107,000,000","-7,383,000,000",,,"-1,104,000,000",
	SaleOfInvestment,"1,861,000,000","3,713,000,000","639,000,000","879,000,000","869,000,000","428,000,000","2,517,000,000","564,000,000","737,000,000","3,409,000,000","53,200,000,000","3,762,000,000","7,302,000,000","352,000,000","5,112,000,000","6,724,000,000","6,525,000,000","10,511,000,000","7,860,000,000","1,553,000,000","2,951,000,000",,
