name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
PretaxIncome,"9,075,000,000","8,940,000,000","13,835,000,000","8,999,000,000","7,817,000,000","8,134,000,000","12,272,000,000","10,735,000,000","11,243,000,000","10,773,000,000","11,702,000,000","9,922,000,000","9,499,000,000","7,487,000,000","8,301,000,000","7,265,000,000","6,893,000,000","6,024,000,000","6,289,000,000","5,108,000,000","5,505,000,000","5,341,000,000","5,792,151,162.791"
TaxProvision,"1,865,000,000","1,793,000,000","1,221,000,000","1,296,000,000","1,119,000,000","1,106,000,000","1,545,000,000","1,443,000,000","1,625,000,000","1,528,000,000","1,733,000,000","1,468,000,000","1,336,000,000","947,000,000","1,282,000,000","1,124,000,000","1,126,000,000","1,008,000,000","1,065,000,000","869,000,000","1,110,000,000","1,153,000,000","1,366,279,069.767"
NetIncomeCommonStockholders,"7,210,000,000","11,732,000,000","12,611,000,000","7,703,000,000","6,712,000,000","17,783,000,000","10,210,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,195,000,000","11,946,000,000","7,175,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
	NetIncome,"7,210,000,000","11,732,000,000","12,611,000,000","7,703,000,000","6,712,000,000","17,783,000,000","10,210,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,195,000,000","11,946,000,000","7,175,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
		NetIncomeIncludingNoncontrollingInterests,"7,210,000,000","11,737,000,000","12,614,000,000","7,703,000,000","6,698,000,000","17,794,000,000","10,280,000,000","9,292,000,000","9,618,000,000","9,245,000,000","9,969,000,000","8,454,000,000","8,233,000,000","11,968,000,000","7,202,000,000","6,141,000,000","5,782,000,000","5,060,000,000","5,240,000,000","4,250,000,000","4,421,000,000","4,205,000,000","4,425,872,093.023"
			NetIncomeContinuousOperations,"7,210,000,000","7,147,000,000","12,614,000,000","7,703,000,000","6,698,000,000","7,028,000,000","10,727,000,000","9,292,000,000","9,618,000,000","9,245,000,000","9,969,000,000","8,454,000,000","8,125,000,000","6,540,000,000","6,992,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,425,872,093.023"
			NetIncomeDiscontinuousOperations,,"4,590,000,000",,,,"10,766,000,000","-447,000,000",,,"0","0","0","70,000,000","5,428,000,000","183,000,000",,,,,,,,
		MinorityInterests,"0","-5,000,000","-3,000,000","0","14,000,000","-11,000,000","-70,000,000","-117,000,000","-113,000,000","-132,000,000","-175,000,000","-54,000,000","-38,000,000","-22,000,000","-27,000,000","-11,000,000","-15,000,000","-44,000,000","-16,000,000","-11,000,000","-26,000,000","-17,000,000","-18,895,348.837"
DilutedNIAvailtoComStockholders,"7,210,000,000","11,732,000,000","12,611,000,000","7,703,000,000","6,712,000,000","17,783,000,000","10,210,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,195,000,000","11,946,000,000","7,175,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
BasicEPS,,"5.12","5.44","3.28","2.82","7.4","4.21","3.76","3.93","3.83","4.28","3.7","3.62","5.15","3.06","2.63","2.36","2.03","2.105","1.644","0.679","0.312","0.323"
DilutedEPS,,"5.06","5.38","3.25","2.8","7.29","4.13","3.7","3.89","3.78","4.26","3.69","3.59","5.13","3.04","2.62","2.34","2","2.054","1.638","0.679","0.312","0.323"
BasicAverageShares,,"2,291,000,000","2,319,000,000","2,346,000,000","2,378,000,000","2,403,000,000","2,426,000,000","2,441,000,000","2,418,100,000","2,382,000,000","2,286,000,000","2,267,855,586","2,265,536,699","2,319,611,650","2,344,771,242","2,330,798,479","2,443,644,068","2,470,935,961","2,482,207,835","2,578,026,505","2,580,468,750","2,624,734,400","2,739,218,160"
DilutedAverageShares,,"2,319,000,000","2,344,000,000","2,371,000,000","2,400,000,000","2,438,000,000","2,470,000,000","2,479,000,000","2,444,900,000","2,413,000,000","2,286,000,000","2,267,855,586","2,284,243,634","2,328,654,971","2,360,197,368","2,339,694,656","2,464,529,915","2,508,000,000","2,543,389,524","2,587,504,532","2,621,428,571","2,624,734,400","2,739,218,160"
TotalOperatingIncomeAsReported,"9,277,000,000","9,086,000,000","8,169,000,000","8,629,000,000","8,268,000,000","8,977,000,000","11,089,000,000","10,910,000,000","11,511,000,000","10,998,000,000","11,526,000,000","9,982,000,000","8,964,000,000","6,781,000,000","7,949,000,000","6,905,000,000","6,539,000,000","5,889,000,000","5,634,000,000","4,392,000,000","4,806,000,000","4,618,000,000","5,345,930,232.558"
TotalExpenses,"40,251,000,000","39,591,000,000","44,997,000,000","41,506,000,000","41,168,000,000","41,410,000,000","42,545,000,000","47,921,000,000","46,050,000,000","48,377,000,000","40,035,000,000","35,121,000,000","33,620,000,000","30,721,000,000","28,800,000,000","25,307,000,000","21,708,000,000","18,975,000,000","17,517,000,000","14,943,000,000","17,026,000,000","15,800,000,000","17,693,313,953.488"
NetIncomeFromContinuingAndDiscontinuedOperation,"7,210,000,000","11,732,000,000","12,611,000,000","7,703,000,000","6,712,000,000","17,783,000,000","10,210,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,195,000,000","11,946,000,000","7,175,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
NormalizedIncome,"7,210,000,000","7,269,840,000","12,671,192,000","7,742,376,000","7,114,790,000","7,355,296,000","10,637,772,000","9,238,566,000","9,596,485,000","9,114,716,327.857","9,794,000,000","8,400,000,000","7,903,286,767.028","7,780,227,861.627","6,981,853,270.69","6,273,698,554.714","5,951,898,737.85","4,933,565,737.052","4,875,124,185.085","3,770,950,665.623","4,127,547,683.924","3,898,658,678.15","4,406,976,744.186"
InterestIncome,,"245,000,000","294,000,000","110,000,000","43,000,000","33,000,000","33,000,000","34,000,000","50,000,000",,"64,000,000","198,000,000",,"531,000,000",,,,,,,,,
InterestExpense,"878,000,000","850,000,000","957,000,000","777,000,000","707,000,000","655,000,000","704,000,000","683,000,000","724,000,000","751,000,000","692,000,000","551,000,000",,"237,000,000",,,,,,,,,
NetInterestIncome,"-751,000,000","-645,000,000","-706,000,000","-692,000,000","-684,000,000","-717,000,000","-757,000,000","-701,000,000","-713,000,000","-751,000,000","-628,000,000","-353,000,000",,"294,000,000",,,,,,,,,
EBIT,"9,953,000,000","9,790,000,000","14,792,000,000","9,776,000,000","8,524,000,000","8,789,000,000","12,976,000,000","11,418,000,000","11,967,000,000","11,524,000,000","12,394,000,000","10,473,000,000","8,964,000,000","7,724,000,000","7,231,000,000","6,905,000,000","6,539,000,000","5,889,000,000","5,634,000,000","4,392,000,000","4,806,000,000","4,618,000,000","5,345,930,232.558"
EBITDA,"16,405,000,000"
ReconciledCostOfRevenue,"14,919,000,000","14,425,000,000","18,407,000,000","17,175,000,000","17,520,000,000","17,404,000,000","17,345,000,000","19,608,000,000","18,756,000,000","18,983,000,000","14,488,000,000","12,179,000,000","11,439,000,000","11,032,000,000","10,299,000,000","8,554,000,000","6,625,000,000","5,894,000,000","5,441,000,000","4,759,000,000","6,245,000,000","5,229,000,000","7,305,232,558.14"
ReconciledDepreciation,"6,452,000,000","5,826,000,000","6,892,000,000","6,076,000,000","6,043,000,000","5,471,000,000","4,682,000,000","4,925,000,000","4,920,000,000",,,"1,250,000,000","2,670,000,000",,"1,987,000,000","1,765,000,000","1,388,000,000","1,386,000,000","690,000,000","585,000,000","918,000,000","949,000,000","1,008,720,930.233"
NetIncomeFromContinuingOperationNetMinorityInterest,"7,210,000,000","7,142,000,000","12,611,000,000","7,703,000,000","6,712,000,000","7,017,000,000","10,657,000,000","9,175,000,000","9,505,000,000","9,113,000,000","9,794,000,000","8,400,000,000","8,125,000,000","6,518,000,000","6,992,000,000","6,130,000,000","5,767,000,000","5,016,000,000","5,224,000,000","4,239,000,000","4,395,000,000","4,188,000,000","4,406,976,744.186"
TotalUnusualItemsExcludingGoodwill,,"-160,000,000","-66,000,000","-46,000,000","-470,000,000","-392,000,000","22,000,000","-74,000,000","-107,000,000","-2,000,000",,,"258,000,000","-1,445,000,000","12,000,000","-170,000,000","-221,000,000","99,000,000","420,000,000","564,000,000","335,000,000","369,000,000",
TotalUnusualItems,,"-160,000,000","-66,000,000","-46,000,000","-470,000,000","-392,000,000","22,000,000","-74,000,000","-107,000,000","-2,000,000",,,"258,000,000","-1,445,000,000","12,000,000","-170,000,000","-221,000,000","99,000,000","420,000,000","564,000,000","335,000,000","369,000,000",
NormalizedEBITDA,"16,405,000,000","15,776,000,000","21,750,000,000","15,898,000,000","15,037,000,000","14,652,000,000","17,636,000,000","16,417,000,000","16,994,000,000","11,526,000,000","12,394,000,000","11,723,000,000","11,376,000,000","9,169,000,000","9,206,000,000","8,840,000,000","8,148,000,000","7,176,000,000","5,904,000,000","4,413,000,000","5,389,000,000","5,198,000,000","6,354,651,162.791"
TaxRateForCalcs,"0.206","0.201","0.088","0.144","0.143","0.137","0.126","0.141","0.145","0.142","0.148","0.148","0.141","0.126","0.154","0.155","0.163","0.167","0.169","0.17","0.202","0.216","0.236"
TaxEffectOfUnusualItems,"0","-32,160,000","-5,808,000","-6,624,000","-67,210,000","-53,704,000","2,772,000","-10,434,000","-15,515,000","-283,672.143","0","0","36,286,767.028","-182,772,138.373","1,853,270.69","-26,301,445.286","-36,101,262.15","16,565,737.052","71,124,185.085","95,950,665.623","67,547,683.924","79,658,678.15","0"
