name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992
OperatingCashFlow,"465,100,000","387,800,000","593,000,000","698,900,000","654,900,000","1,198,300,000","693,500,000","553,800,000","513,376,000","373,961,000","314,173,000","258,345,000","248,307,000","128,923,000","126,531,000","77,644,000","118,527,000","80,234,000","104,192,000","68,219,000","117,813,000","-15,400,000","22,300,000","86,500,000","72,900,000","42,400,000","60,700,000","31,900,000","19,200,000"
	NetIncome,"188,600,000","146,100,000","131,000,000","119,600,000","-4,012,800,000","128,000,000","205,300,000","441,900,000","401,613,000","339,197,000","222,546,000","144,049,000","135,773,000","73,797,000","71,400,000","-352,983,000","80,567,000","54,048,000","50,197,000","27,656,000","19,298,000","1,500,000","-51,600,000","45,000,000","39,800,000","44,400,000","54,800,000","44,600,000","28,600,000"
	DepreciationAndAmortization,"393,000,000","396,500,000","423,600,000","444,800,000","457,000,000","548,800,000","358,900,000","160,200,000","135,323,000","102,941,000","76,133,000","70,142,000","69,231,000","58,032,000","56,604,000","34,813,000","28,452,000","26,126,000","25,613,000","23,022,000","22,245,000","21,100,000","29,400,000","28,600,000","27,200,000","23,700,000","18,900,000","15,400,000","12,000,000"
	DeferredIncomeTax,"-41,100,000","-43,900,000","-17,900,000","-48,900,000","-990,900,000","-16,400,000","-56,300,000","4,300,000","25,680,000","-58,527,000","-10,347,000","-1,422,000","6,442,000","-1,371,000","-5,804,000","-9,834,000","3,366,000","-6,847,000","2,233,000","-10,548,000","27,141,000","-3,400,000","-34,800,000","-1,100,000","3,600,000","2,300,000","3,000,000","800,000",
	StockBasedCompensation,"56,000,000","52,200,000","37,700,000","43,800,000","23,000,000","31,600,000","24,600,000","18,400,000","18,973,000","15,355,000","14,696,000","10,353,000",,,,,,,,,,,,,,,,,
	ChangeInWorkingCapital,"-251,000,000","-313,500,000","-19,400,000","-103,900,000","-101,500,000","147,300,000","-64,800,000","-71,800,000","-51,849,000","-10,996,000","-5,466,000","9,373,000","15,260,000","-20,774,000","-12,937,000","20,794,000","1,014,000","1,683,000","7,489,000","24,572,000","45,596,000","-58,000,000","-43,100,000","13,400,000","2,000,000","-28,700,000","-16,300,000","-32,200,000","-21,500,000"
	ChangesInAccountReceivables,"-159,800,000","-140,700,000","21,000,000","3,200,000","-600,000","-81,700,000","-226,700,000","-37,000,000","-49,349,000","-107,235,000","-6,886,000","6,446,000",,,,,,,,,,,,,,,,,
	ChangeInInventory,"7,000,000","-67,000,000","-98,600,000","-16,000,000","100,700,000","10,700,000","83,000,000","-94,600,000","5,353,000","-30,416,000","-30,199,000","341,000","-72,480,000","18,786,000","-31,681,000","40,528,000","-6,168,000","-4,656,000","5,512,000","-29,384,000","70,502,000","-17,400,000","-63,200,000","-4,500,000","6,600,000","-24,600,000","-7,400,000","-21,900,000","-27,800,000"
	ChangeInAccountPayable,"-4,600,000","17,000,000","28,800,000","-39,600,000","-75,700,000","140,600,000","-24,900,000","6,500,000","-23,555,000","57,804,000","-21,166,000","24,821,000",,,,,,,,,,,,,,,,,
	FreeCashFlow,"314,700,000","250,100,000","490,400,000","610,300,000","548,700,000","1,061,300,000","521,900,000","449,700,000","393,184,000","274,518,000","258,281,000","199,107,000","191,082,000","24,371,000","90,104,000","45,258,000","90,233,000","47,938,000","76,664,000","41,415,000","103,449,000","-47,700,000","-63,100,000","63,500,000","55,300,000","3,800,000","-1,600,000","-35,600,000","-40,400,000"
