name,ttm,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994
TotalRevenue,"186,159,448,000","179,589,121,000","167,939,635,000","153,143,826,000","146,849,686,000","135,961,803,000","119,569,127,000","87,959,167,000","79,489,596,000","80,217,558,000","77,953,979,000","71,759,990,000","70,189,733,000","66,074,312,000","61,203,145,000","54,577,321,000","53,178,954,000","49,657,328,000","45,234,794,000","16,191,353,000","11,645,021,000","9,807,400,000","8,668,800,000","7,815,900,000","5,551,700,000","4,668,900,000","4,301,800,000"
	OperatingRevenue,"186,159,448,000","179,589,121,000","167,939,635,000","153,143,826,000","146,849,686,000","135,961,803,000","119,569,127,000","87,959,167,000","79,489,596,000","80,217,558,000","77,953,979,000","71,759,990,000","70,189,733,000","66,074,312,000","61,203,145,000","54,577,321,000","53,178,954,000","49,657,328,000","45,234,794,000","16,191,353,000","11,645,021,000","9,807,400,000","8,668,800,000","7,815,900,000","5,551,700,000","4,668,900,000","4,301,800,000"
CostOfRevenue,"181,124,151,000","174,450,809,000","163,327,318,000","148,597,824,000","142,577,080,000","132,432,490,000","116,586,761,000","85,451,348,000","76,820,498,000","77,678,462,000","75,597,337,000","69,659,915,000","68,142,731,000","63,747,573,000","58,971,330,000","52,597,137,000","50,999,772,000","47,410,169,000","43,210,320,000","15,491,235,000","11,124,129,000","9,331,800,000","8,245,700,000","7,426,600,000","5,246,800,000","4,400,100,000","4,058,500,000"
GrossProfit,"5,035,297,000","5,138,312,000","4,612,317,000","4,546,002,000","4,272,606,000","3,529,313,000","2,982,366,000","2,507,819,000","2,669,098,000","2,539,096,000","2,356,642,000","2,100,075,000","2,047,002,000","2,326,739,000","2,231,815,000","1,980,184,000","2,179,182,000","2,247,159,000","2,024,474,000","700,118,000","520,892,000","475,600,000","423,100,000","389,300,000","304,900,000","268,800,000","243,300,000"
OperatingExpense,"3,172,704,000","3,125,915,000","2,925,428,000","2,526,333,000","2,455,972,000","2,161,325,000","1,772,551,000","1,495,898,000","1,370,549,000","1,329,845,000","1,254,289,000","1,204,554,000","1,206,764,000","1,504,325,000","1,483,109,000","1,343,238,000","1,288,748,000","1,364,053,000","1,281,802,000","427,633,000","320,458,000","301,700,000","271,500,000","269,700,000","207,000,000","171,000,000","165,400,000"
	SellingGeneralAndAdministration,"2,758,253,000","2,663,508,000","2,460,301,000","2,128,730,000","2,091,237,000","1,918,045,000","1,587,261,000","1,333,712,000","1,229,495,000","1,197,969,000","1,167,828,000","1,125,646,000","1,124,683,000","1,413,103,000","1,397,100,000","1,256,780,000","1,212,982,000","1,293,062,000","1,220,651,000","408,760,000","303,038,000","281,800,000","254,900,000","255,400,000","195,400,000","160,900,000","150,700,000"
		SellingAndMarketingExpense,"2,758,253,000","2,663,508,000","2,460,301,000","2,128,730,000","2,091,237,000","1,918,045,000","1,587,261,000","1,333,712,000","1,229,495,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"414,451,000","462,407,000","465,127,000","397,603,000","364,735,000","243,280,000","185,290,000","162,186,000","141,054,000","108,309,000","86,461,000","78,908,000","82,081,000","91,222,000","86,009,000","81,199,000","75,766,000","70,991,000","61,151,000","21,589,000","17,420,000","19,900,000","16,600,000","14,300,000","11,600,000","10,100,000","14,700,000"
		DepreciationAndAmortizationInIncomeStatement,"414,451,000","462,407,000","465,127,000","397,603,000","364,735,000","243,280,000","185,290,000","162,186,000","141,054,000","108,309,000","86,461,000","78,908,000","82,081,000","91,222,000","86,009,000","81,199,000","75,766,000","70,991,000","61,151,000","21,589,000","17,420,000","19,900,000","16,600,000","14,300,000","11,600,000","10,100,000","14,700,000"
			DepreciationIncomeStatement,"283,424,000","294,965,000","283,971,000","237,100,000","212,242,000","186,789,000","159,328,000","135,047,000","117,592,000","91,819,000","70,004,000","63,488,000","64,954,000","73,160,000","73,093,000","70,947,000","64,103,000","62,949,000","58,250,000","18,604,000",,,,,,,
