name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"6,339,000,000","6,260,000,000","5,825,000,000","5,307,000,000","4,888,000,000","4,765,000,000","4,785,000,000","4,561,000,000","4,336,000,000","4,233,000,000","3,582,000,000","2,760,000,000"
CostOfRevenue,"1,933,000,000","1,992,000,000","1,911,000,000","1,775,000,000","1,666,000,000","1,738,000,000","1,717,000,000","1,669,000,000","1,563,000,000","1,652,000,000","1,444,000,000","1,078,000,000"
GrossProfit,"4,406,000,000","4,268,000,000","3,914,000,000","3,532,000,000","3,222,000,000","3,027,000,000","3,068,000,000","2,892,000,000","2,773,000,000","2,581,000,000","2,138,000,000","1,682,000,000"
OperatingExpense,"2,277,000,000","2,250,000,000","2,033,000,000","1,807,000,000","1,825,000,000","1,957,000,000","2,099,000,000","2,072,000,000","1,943,000,000","1,949,000,000","1,851,000,000","1,467,000,000"
	ResearchAndDevelopment,"462,000,000","457,000,000","432,000,000","382,000,000","376,000,000","364,000,000","396,000,000","399,000,000","409,000,000","427,000,000","411,000,000","368,000,000"
	SellingGeneralAndAdministration,"1,658,000,000","1,638,000,000","1,484,000,000","1,334,000,000","1,364,000,000","1,532,000,000","1,643,000,000","1,613,000,000","1,470,000,000","1,453,000,000","1,382,000,000","1,066,000,000"
	OperatingExpense,"2,277,000,000","2,250,000,000","2,033,000,000","1,807,000,000","1,825,000,000","1,957,000,000","2,099,000,000","2,072,000,000","1,943,000,000","1,949,000,000","1,851,000,000","1,467,000,000"
OperatingIncome,"2,129,000,000","2,018,000,000","1,881,000,000","1,725,000,000","1,397,000,000","1,070,000,000","969,000,000","820,000,000","830,000,000","632,000,000","287,000,000","215,000,000"
InterestExpense,"220,000,000","223,000,000","206,000,000","175,000,000","166,000,000","124,000,000","117,000,000","113,000,000","31,000,000","36,000,000","37,000,000","26,000,000"
OtherIncomeExpense,"-25,000,000","-31,000,000","-16,000,000","-25,000,000","-3,000,000","-401,000,000","-32,000,000","-17,000,000","-89,000,000","-202,000,000","-72,000,000","-337,000,000"
PretaxIncome,"1,917,000,000","1,801,000,000","1,690,000,000","1,525,000,000","1,228,000,000","545,000,000","820,000,000","690,000,000","710,000,000","394,000,000","178,000,000","-148,000,000"
TaxProvision,"306,000,000","301,000,000","266,000,000","663,000,000","409,000,000","206,000,000","233,000,000","187,000,000","274,000,000","146,000,000","67,000,000","-47,000,000"
NetIncomeContinuousOperations,"1,611,000,000","1,500,000,000","1,424,000,000","862,000,000","819,000,000","339,000,000","587,000,000","503,000,000","436,000,000","248,000,000","111,000,000","-101,000,000"
NetIncome,"1,611,000,000","1,500,000,000","1,428,000,000","864,000,000","821,000,000","339,000,000","583,000,000","504,000,000","436,000,000","245,000,000","110,000,000","-100,000,000"
NetIncomeCommonStockholders,"1,611,000,000","1,500,000,000","1,428,000,000","864,000,000","821,000,000","339,000,000","583,000,000","504,000,000","436,000,000","192,000,000","110,000,000","-100,000,000"
BasicEPS,,"3.14","2.96","1.76","1.66","0.68","1.16","1.01","0.872","0.38","0.22","-0.2"
DilutedEPS,,"3.11","2.93","1.75","1.65","0.68","1.16","1.01","0.872","0.38","0.22","-0.2"
BasicAverageShares,,"478,100,000","483,063,000","489,918,000","495,715,000","499,707,000","501,055,000","500,002,000","500,000,000","500,000,000","500,000,000","500,000,000"
DilutedAverageShares,,"481,800,000","486,898,000","493,161,000","498,225,000","502,019,000","502,025,000","500,317,000","500,000,000","500,000,000","500,000,000","500,000,000"
Ebitda,,"2,436,000,000","2,204,000,000","1,942,000,000","1,634,000,000","868,000,000","1,141,000,000","1,012,000,000","941,000,000","635,000,000","400,000,000","2,000,000"
